Title,Object Type,Date.normalized,Date.creation,Format.extent,Format,Format.dimensions,Item ARK,Support,Language,AltIdentifier.local,delivery,Comments,User Comments
Sinai Syriac 115,Work,1201/1300,13th c.,66 ff. ; 545.4 g,codex,196 x 148 x 43.0 mm,ark:/21198/z1kw70rn,Paper,Syriac,Sinai Syriac 115,5.2,3AB / 19AB / 61AB,
Sinai Syriac 117,Work,1201/1300,13th c.,82 ff. ; 628 g,codex,201 x 147 x 50.0 mm,ark:/21198/z1g74zd4,Paper,Syriac,Sinai Syriac 117,5.2,49AB / 53AB / 79AB,
Sinai Syriac 118,Work,1201/1300,13th c.,336 ff. ; 1128.6 g,codex,185 x 151 x 86.0 mm,ark:/21198/z1bg46rp,Paper,Syriac,Sinai Syriac 118,5.2,177AB / 246AB / 291AB / NO 256,z_999
Sinai Syriac 119,Work,1201/1300,13th c.,192 ff. ; 899.6 g,codex,181 x 141 x 69.0 mm,ark:/21198/z16q3fz2,Paper,Syriac,Sinai Syriac 119,5.2,,y_999=f.113 / z_999
Sinai Syriac 121,Work,1232,1232,217 ff. ; 812 g,codex,176 x 136 x 67.0 mm,ark:/21198/z12z2q69,Paper,Syriac,Sinai Syriac 121,5.2,,y_999=f.218
Sinai Syriac 122,Work,1201/1300,13th c.,125 ff. ; 748.4 g,codex,194 x 152 x 56.0 mm,ark:/21198/z1z626q9,Paper,Syriac,Sinai Syriac 122,5.2,,
Sinai Syriac 123,Work,1287,1287,350 ff. ; 1499.5 g,codex,198 x 152 x 105.0 mm,ark:/21198/z1tf1g1f,Paper,Syriac,Sinai Syriac 123,5.2,227AB / 283AB,
Sinai Syriac 128,Work,1229,1229,184 ff. ; 692.1 g,codex,180 x 141 x 60.0 mm,ark:/21198/z1pp0qd2,Paper,Syriac,Sinai Syriac 128,5.2,folio 18 is written as 218,
Sinai Syriac 132,Work,1201/1300,13th c.,275 ff. ; 1145.1 g,codex,200 x 154 x 90.0 mm,ark:/21198/z1k08nzm,Paper,Syriac,Sinai Syriac 132,5.2,NO 128 / 218AB,"stub f_257_sr, _sv"
Sinai Syriac 135,Work,1101/1300,12th c.,179 ff. ; 757.5 g,codex,182 x 143 x 59.0 mm,ark:/21198/z1f77x8r,Paper,Syriac,Sinai Syriac 135,5.2,69AB,
Sinai Syriac 136,Work,1201/1300,13th c.,258 ff. ; 1032.5 g,codex,178 x 145 x 80.0 mm,ark:/21198/z19g75hz,Paper,Syriac,Sinai Syriac 136,5.2,17AB,
Sinai Syriac 137,Work,1201/1300,13th c.,207 ff. ; 992.4 g,codex,200 x 144 x 75.0 mm,ark:/21198/z15q6drs,Paper,Syriac,Sinai Syriac 137,5.2,73AB / 88AB,z_999 found at 119r
Sinai Syriac 140,Work,1221,1221,311 ff. ; 1006.8 g,codex,170 x 142 x 86.0 mm,ark:/21198/z11z5p2x,Paper,Syriac,Sinai Syriac 140,5.2,,
Sinai Syriac 142,Work,1201/1300,13th c.,178 ff. ; 771.1 g,codex,181 x 142 x 63.0 mm,ark:/21198/z1x655mc,Paper,Syriac,Sinai Syriac 142,5.2,64AB / 91AB / 106AB,"stub f_088_sr, _sv, f_152_sr, _sv"
Sinai Syriac 146,Work,1188,1188,107 ff. ; 575 g,codex,176 x 137 x 46.0 mm,ark:/21198/z1sf4dx3,Paper,Syriac,Sinai Syriac 146,5.2,,
Sinai Syriac 147,Work,1201/1300,13th c.,84 ff. ; 394.6 g,codex,180 x 147 x 34.0 mm,ark:/21198/z1ns2cm3,Paper,Syriac,Sinai Syriac 147,5.2,75AB,
Sinai Syriac 148,Work,1201/1300,13th c.,191 ff. ; 714.3 g,codex,180 x 135 x 59.0 mm,ark:/21198/z1j11mx4,Paper,Syriac,Sinai Syriac 148,5.2,75AB / folios 1-4 are upside down,"stub f_124_sr, _sv"
Sinai Syriac 162,Work,1201/1300,13th c.,157 ff. ; 655 g,codex,174 x 136 x 65.0 mm,ark:/21198/z1d80w3g,Paper,Syriac,Sinai Syriac 162,5.2,149ABCDEFGH,
Sinai Syriac 199,Work,1295,1295,219 ff. ; 906.4 g,codex,210 x 144 x 67.0 mm,ark:/21198/z18h04bp,Paper,Syriac,Sinai Syriac 199,5.2,,
Sinai Syriac 200,Work,1201/1300,13th c.,389 ff. ; 864.1 g,codex,150 x 117 x 95.0 mm,ark:/21198/z14q9cmd,Paper,Syriac,Sinai Syriac 200,5.2,55AB,z_999
Sinai Syriac 221,Work,1201/1300,13th c.,226 ff. ; 929.7 g,codex,182 x 140 x 89.0 mm,ark:/21198/z10z8mzk,Paper,Syriac,Sinai Syriac 221,5.2,129AB,
Sinai Syriac 222,Work,1267,1267,210 ff. ; 842.7 g,codex,179 x 140 x 64.0 mm,ark:/21198/z1w684g0,Paper,Syriac,Sinai Syriac 222,5.2,,
Sinai Syriac 224,Work,1201/1300,13th c.,151 ff. ; 740.8 g,codex,199 x 145 x 62.0 mm,ark:/21198/z1rj636f,Paper,Syriac,Sinai Syriac 224,5.2,,
Sinai Syriac 225,Work,1201/1300,13th c.,279 ff. ; 1062.7 g,codex,178 x 136 x 95.0 mm,ark:/21198/z1ms5bh5,Paper,Syriac,Sinai Syriac 225,5.2,264AB / 266AB,z_999 found at 161v
Sinai Syriac 239,Work,1201/1300,13th c.,328 ff. ; 1442.7 g,codex,197 x 152 x 105.0 mm,ark:/21198/z1h14kpd,Paper,Syriac,Sinai Syriac 239,5.2,NO 2 / f. 33-39 fragile bookbinding / 232AB,
Sinai Syriac 241,Work,1365,1365,236 ff. ; 996.6 g,codex,195 x 155 x 78.0 mm,ark:/21198/z1c83tzp,Paper,Syriac,Sinai Syriac 241,5.2,NO 102,
Sinai Syriac 243,Work,1201/1300,13th c.,52 ff. ; 556.5 g,codex,199 x 145 x 41.0 mm,ark:/21198/z17h337r,Paper,Syriac,Sinai Syriac 243,5.2,,
Sinai Syriac 250,Work,1201/1300,13th c.,209 ff. ; 668.4 g,codex,181 x 150 x 63.0 mm,ark:/21198/z13r2bjg,Paper,Syriac,Sinai Syriac 250,5.2,59AB,"decorative elements: 35r / stub f_055_sr, _sv / z_999"
Sinai Syriac 252,Work,1201/1300,13th c.,125 ff. ; 449.3 g,codex,178 x 146 x 50.0 mm,ark:/21198/z1001kvh,Paper,Syriac,Sinai Syriac 252,5.2,,
Sinai Syriac 263,Work,1201/1300,13th c.,226 ff. ; 676 g,codex,185 x 140 x 64.0 mm,ark:/21198/z1v99ss0,Paper,Syriac,Sinai Syriac 263,5.2,2AB / 33AB / 194-201 rodent damage,
Sinai Syriac 274,Work,801/900,9th c.,154 ff. ; 588.2 g,codex,174 x 141 x 61.0 mm,ark:/21198/z1qj921m,Paper,Syriac,Sinai Syriac 274,5.2,82AB/ 91AB / 97AB / 108AB/ 122AB/ 137AB / 146AB / f. 142-147 detached,y_998r=f.148 / last folio in Arabic of the 10th c.
