File Path,Title,Object Type,Source,Parent ARK,Item ARK
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_037v_61-076\AraNF-8_037v_61-076_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 37v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_037v_61-076,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_pseudo_avgUV-MB780IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_pseudo_WBUVB47-MB780IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_pseudo_WBUVO22-MB780IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_pseudo_WBUVUVP-MB780IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_raking_RE870IR-RS870IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_sharpie_avgUV-MB780IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_sharpie_WBUVB47-MB780IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_sharpie_WBUVUVP-MB780IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077\AraNF-8_038r_61-077_KTK_txratio_TX940IR-MB940IR.tif,Image of Sinai Arabic NF 8 38r,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038r_61-077,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_pseudo_WBUVB47-MB780IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078\AraNF-8_038v_61-078_KTK_pseudo_WBUVG58-MB780IR.tif,Image of Sinai Arabic NF 8 38v,page,\\dl_deposit\spp_ingest\IngestPackage2\AraNF-8\AraNF-8_038v_61-078,,
