"Shelfmark","Item ARK","Object Type","Date.normalized","Date.creation","Format.extent","Format.weight","Format","Format.dimensions","Support","Language","delivery","Comments","User Comments"
"Sinai Arabic 84","","Work","1262","1262","242 ff.","1305.5 g","codex","223 x 149 x 78.0 mm","Paper","Arabic","8.1","NO 233",""
"Sinai Arabic 86","","Work","1301/1400","14th c.","193 ff.","1392.5 g","codex","228 x 162 x 82.0 mm","Paper","Arabic","8.1","144AB",""
"Sinai Arabic 134","","Work","1601/1700","17th c.","378 ff.","2382.6 g","codex","255 x 194 x 103.0 mm","Paper","Arabic","8.1","NO 121 / NO 122 / NO 153 / NO 154 / NO 155 / NO 232 / 356AB","f. 381 watermark of bird"
"Sinai Arabic 156","","Work","1316","1316","252 ff.","1185.1 g","codex","212 x 157 x 97.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic 200","","Work","1201/1300","13th c.","174 ff.","797.1 g","codex","217 x 155 x 59.0 mm","Paper","Arabic","8.1","4 pages cut-removed between 156v-157r / 88AB",""
"Sinai Arabic 237","","Work","1201/1300","13th c.","404 ff.","826.8 g","codex","164 x 135 x 116.0 mm","Paper","Arabic","8.1","f.1-2, 403-404 parchment","palimpsest"
"Sinai Arabic 273","","Work","1216","1216","507 ff.","3562.4 g","codex","271 x 201 x 138.0 mm","Paper","Arabic","8.1","229AB / 481AB / NO 68 / NO 69 / NO 249 / NO 309 / NO 497 / NO 498",""
"Sinai Arabic 291","","Work","1201/1300","13th c.","408 ff.","2659.8 g","codex","267 x 187 x 104.0 mm","Paper","Arabic","8.1","326AB / NO 327","stub f_001_sar, _sav, f_001_sbr, _sbv"
"Sinai Arabic 385","","Work","1224","1224","454 ff.","2671.6 g","codex","265 x 190 x 128.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic 390","","Work","1164","1164","479 ff.","3172.4 g","codex","265 x 180 x 115.0 mm","Paper","Arabic;Greek","8.1","NO 3","decorative elements: 65r"
"Sinai Arabic 478","","Work","1201/1300","13th c.","243 ff.","839.6 g","codex","218 x 169 x 55.0 mm","Paper","Arabic","8.1","NO 101 / NO 102 / NO 103 / NO 104 / 163AB",""
"Sinai Arabic 526","","Work","1101/1200","12th c.","136 ff.","653.6 g","codex","265 x 183 x 45.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF M 6","","Work","","","109 ff.","372.6 g","codex","207 x 150 x 38.0 mm","Parchment","Arabic","8.1","5AB",""
"Sinai Arabic NF M 10","","Work","","","49 ff.","168.8 g","codex","183 x 145 x 30.0 mm","Parchment","Arabic","8.1","",""
"Sinai Arabic NF X 2","","Work","","","85 ff.","201.5 g","codex","172 x 130 x 27.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 6","","Work","","","143 ff.","384.4 g","codex","170 x 140 x 65.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 9","","Work","","","49 ff.","209.3 g","codex","222 x 140 x 28.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 12","","Work","","","24 ff.","46.2 g","codex","163 x 121 x 10.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 15","","Work","","","43 ff.","75.7 g","codex","170 x 129 x 11.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 19","","Work","","","57 ff.","146.4 g","codex","226 x 137 x 17.0 mm","Paper","Arabic","8.1","","z_999 found at 37r"
"Sinai Arabic NF X 20","","Work","","","21 ff.","107.3 g","codex","215 x 155 x 20.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 23","","Work","","","64 ff.","209.8 g","codex","152 x 124 x 35.0 mm","Paper","Arabic","8.1","","decorative elements: 22v, 23r"
"Sinai Arabic NF X 25","","Work","","","128 ff.","259.4 g","codex","142 x 121 x 43.0 mm","Paper","Arabic","8.1","84AB",""
"Sinai Arabic NF X 28","","Work","","","39 ff.","72.0 g","codex","168 x 127 x 12.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 29","","Work","","","37 ff.","100.3 g","codex","184 x 136 x 15.0 mm","Paper","Arabic","8.1","","z999 found at 5r / z998 found at 15r / decorative elements: 22r"
"Sinai Arabic NF X 30","","Work","1247","1247","91 ff.","188.3 g","codex","148 x 114 x 35.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 31","","Work","","","30 ff.","89.5 g","codex","193 x 145 x 20.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 32","","Work","1352","1352","78 ff.","198.6 g","codex","200 x 154 x 29.0 mm","Paper","Arabic","8.1","","z999 found at 54r / z998 found inside extra envelope"
"Sinai Arabic NF X 33","","Work","","","24 ff.","75.3 g","codex","185 x 139 x 12.0 mm","Paper","Arabic","8.1","14AB","z999 found inside extra envelope"
"Sinai Arabic NF X 34","","Work","1001","1001","31 ff.","130.1 g","codex","183 x 154 x 22.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 37","","Work","","","88 ff.","126.6 g","codex","163 x 137 x 19.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 38","","Work","","","19 ff.","47.4 g","codex","182 x 149 x 9.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 39","","Work","","","14 ff.","36.3 g","codex","174 x 132 x 5.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 40","","Work","","","10 ff.","29.3 g","codex","165 x 129 x 5.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 41","","Work","","","10 ff.","30.1 g","codex","171 x 127 x 9.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 42","","Work","","","14 ff.","24.5 g","codex","143 x 110 x 6.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 49","","Work","","","74 ff.","97.3 g","codex","127 x 93 x 19.0 mm","Paper","Arabic","8.1","",""
"Sinai Arabic NF X 50","","Work","","","91 ff.","203.2 g","codex","147 x 115 x 30.0 mm","Paper","Arabic","8.1","63AB","z998 / z999"
