File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL,
Masters/sinaimasters/syrnf/syriac_nf_m_0063/sld_syrnfm0063_0007_f_004r.tif,11,sinai,"Syriac NF M 63, f. 4r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1p28qb0/r9217z49,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fr9217z49,
Masters/sinaimasters/syrnf/syriac_nf_m_0063/sld_syrnfm0063_0008_f_004v.tif,12,sinai,"Syriac NF M 63, f. 4v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1p28qb0/8v93s06x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2F8v93s06x,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0007_f_004r.tif,13,sinai,"Syriac NF M 50, f. 4r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/mk79d28z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fmk79d28z,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0008_f_004v.tif,14,sinai,"Syriac NF M 50, f. 4v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/7956tt12,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2F7956tt12,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0009_f_005r.tif,15,sinai,"Syriac NF M 50, f. 5r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/nz482z9h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fnz482z9h,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0010_f_005v.tif,16,sinai,"Syriac NF M 50, f. 5v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/9m22f60m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2F9m22f60m,
Masters/sinaimasters/syrnf/syriac_nf_m_0063/sld_syrnfm0063_0001_f_001r.tif,17,sinai,"Syriac NF M 63, f. 1r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1p28qb0/7v656m8r,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2F7v656m8r,
Masters/sinaimasters/syrnf/syriac_nf_m_0063/sld_syrnfm0063_0002_f_001v.tif,18,sinai,"Syriac NF M 63, f. 1v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1p28qb0/bm681m4k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28qb0%2Fbm681m4k,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0011_f_011r.tif,19,sinai,"Syriac NF M 50, f. 11r",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/qq64bn6w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fqq64bn6w,
Masters/sinaimasters/syrnf/syriac_nf_m_0050/sld_syrnfm0050_0012_f_011v.tif,20,sinai,"Syriac NF M 50, f. 11v",Text,,ark:/21198/z1sv2f4k,ark:/21198/z1jq49kz/s404n62k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Syriac 50 + NF M 50 + NF M 63 + Chabot 75,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq49kz%2Fs404n62k,
