CSV Source File,File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL,IIIF Manifest URL
./sinai_del4-2/arabic_0520.csv,"""Masters/sinaimasters/ara/arabic_0520/lcc_right.tif""",568,sinai,LCC_Right, ,non-paged,ark:/21198/z1c26f13,ark:/21198/z1c26f13/b858j576,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 520,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26f13%2Fb858j576,
./sinai_del4-2/syriac_0035.csv,"""Masters/sinaimasters/syr/syriac_0035/lcc_left.tif""",229,sinai,LCC Left, ,non-paged,ark:/21198/z1ww9296,ark:/21198/z1ww9296/gj07qz22,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 35,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9296%2Fgj07qz22,
./sinai_del4-2/syriac_0035.csv,"""Masters/sinaimasters/syr/syriac_0035/lcc_right.tif""",230,sinai,LCC_Right, ,non-paged,ark:/21198/z1ww9296,ark:/21198/z1ww9296/6r925g57,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 35,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9296%2F6r925g57,
./sinai_del4-2/syriac_0227.csv,"""Masters/sinaimasters/syr/syriac_0227/lcc_left.tif""",511,sinai,LCC Left, ,non-paged,ark:/21198/z1vx215c,ark:/21198/z1vx215c/9g896w3v,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 227,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx215c%2F9g896w3v,
./sinai_del4-2/syriac_0227.csv,"""Masters/sinaimasters/syr/syriac_0227/lcc_right.tif""",512,sinai,LCC_Right, ,non-paged,ark:/21198/z1vx215c,ark:/21198/z1vx215c/bt564f13,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 227,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx215c%2Fbt564f13,
./sinai_del4-2/arabic_0477.csv,"""Masters/sinaimasters/ara/arabic_0477/lcc_left.tif""",367,sinai,LCC Left, ,non-paged,ark:/21198/z1w39dw1,ark:/21198/z1w39dw1/4n55gf93,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 477,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39dw1%2F4n55gf93,
./sinai_del4-2/arabic_0477.csv,"""Masters/sinaimasters/ara/arabic_0477/lcc_right.tif""",368,sinai,LCC_Right, ,non-paged,ark:/21198/z1w39dw1,ark:/21198/z1w39dw1/7w55qm9c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 477,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39dw1%2F7w55qm9c,
./sinai_del4-2/greek_0036.csv,"""Masters/sinaimasters/grk/greek_0036/lcc_left.tif""",407,sinai,LCC Left, ,non-paged,ark:/21198/z1dv33gw,ark:/21198/z1dv33gw/q660c46c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Greek 36,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv33gw%2Fq660c46c,
./sinai_del4-2/greek_0036.csv,"""Masters/sinaimasters/grk/greek_0036/lcc_right.tif""",408,sinai,LCC_Right, ,non-paged,ark:/21198/z1dv33gw,ark:/21198/z1dv33gw/0w27mw9h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Greek 36,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv33gw%2F0w27mw9h,
./sinai_del4-2/arabic_0489.csv,"""Masters/sinaimasters/ara/arabic_0489/lcc_left.tif""",165,sinai,LCC Left, ,non-paged,ark:/21198/z1rb8p5q,ark:/21198/z1rb8p5q/8461fz2q,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 489,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8p5q%2F8461fz2q,
./sinai_del4-2/arabic_0489.csv,"""Masters/sinaimasters/ara/arabic_0489/lcc_right.tif""",166,sinai,LCC_Right, ,non-paged,ark:/21198/z1rb8p5q,ark:/21198/z1rb8p5q/9577bf94,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 489,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8p5q%2F9577bf94,
./sinai_del4-2/syriac_0229.csv,"""Masters/sinaimasters/syr/syriac_0229/lcc_left.tif""",529,sinai,LCC Left, ,non-paged,ark:/21198/z1r518bm,ark:/21198/z1r518bm/r043128x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 229,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r518bm%2Fr043128x,
./sinai_del4-2/syriac_0229.csv,"""Masters/sinaimasters/syr/syriac_0229/lcc_right.tif""",530,sinai,LCC_Right, ,non-paged,ark:/21198/z1r518bm,ark:/21198/z1r518bm/9v557r2z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 229,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r518bm%2F9v557r2z,
./sinai_del4-2/arabic_0676.csv,"""Masters/sinaimasters/ara/arabic_0676/lcc_left.tif""",271,sinai,LCC Left, ,non-paged,ark:/21198/z12n6kvk,ark:/21198/z12n6kvk/jq66153n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 676,succeeded,https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6kvk%2Fjq66153n,
