Title,Item ARK,Object Type,Date.normalized,Date.creation,Format.extent,Format,Format.dimensions,Support,Language,AltIdentifier.local,delivery,General note
Sinai Arabic 521,,Work,1001/1100,11th c.,151 ff. ; 440.2 g,codex,190 x 161 x 42 mm,Paper,Arabic,Sinai Arabic 521,5.1,
Sinai Arabic 522,,Work,1101/1200,12th c.,148 ff. ; 728.6 g,codex,190 x 154 x 73 mm,Paper,Arabic,Sinai Arabic 522,5.1,"Heavy deposits of dirt (ff. 118r-124r, 130r, 139r-141r)"
Sinai Arabic 528,,Work,1201/1300,13th c.,331 ff. ; 1366.4 g,codex,195 x 152 x 97 mm,Paper,Arabic,Sinai Arabic 528,5.1,
Sinai Arabic 533,,Work,1201/1300,13th c.,202 ff. ; 847 g,codex,185 x 146 x 72 mm,Paper,Arabic,Sinai Arabic 533,5.1,
Sinai Arabic 534,,Work,1201/1300,13th c.,350 ff. ; 1090.7 g,codex,173 x 148 x 94 mm,Paper,Arabic,Sinai Arabic 534,5.1,
Sinai Arabic 537,,Work,1201/1300,13th c.,209 ff. ; 796 g,codex,204 x 150 x 52 mm,Paper,Arabic,Sinai Arabic 537,5.1,
Sinai Arabic 550,,Work,1201/1300,13th c.,299 ff. ; 993.6 g,codex,182 x 140 x 94 mm,Paper,Arabic,Sinai Arabic 550,5.1,Folios glued together (ff. 265-267)
Sinai Arabic 553,,Work,1182,1182,152 ff. ; 538 g,codex,179 x 142 x 48 mm,Paper,Arabic,Sinai Arabic 553,5.1,
Sinai Arabic 557,,Work,1201/1300,13th c.,315 ff. ; 1230.4 g,codex,193 x 148 x 100 mm,Paper,Arabic,Sinai Arabic 557,5.1,
Sinai Arabic 562,,Work,1291,1291,127 ff. ; 513 g,codex,194 x 151 x 46 mm,Paper,Arabic,Sinai Arabic 562,5.1,Rodent damage (ff. 1-8); Front cover damaged
Sinai Arabic 564,,Work,1201/1300,13th c.,371 ff. ; 1412.9 g,codex,231 x 172 x 98 mm,Paper,Arabic,Sinai Arabic 564,5.1,
Sinai Arabic 585,,Work,1183,1183,156 ff. ; 524.1 g,codex,177 x 148 x 44 mm,Paper,Arabic,Sinai Arabic 585,5.1,
Sinai Arabic 601,,Work,1101/1200,12th c.,51 ff. ; 161.7 g,codex,204 x 150 x 17 mm,Paper,Arabic,Sinai Arabic 601,5.1,
Sinai Arabic 682,,Work,1656,1656,226 ff. ; 682.6 g,codex,207 x 149 x 56 mm,Paper,Arabic,Sinai Arabic 682,5.1,
