Title,Item ARK,Object Type,Date.normalized,Date.creation,Format.extent,Format,Format.dimensions,Support,Language,AltIdentifier.local,delivery,General note
Sinai Arabic 1,,Work,801/900,9th c.,148 ff. ; 1004.6 g,codex,242 x 170 x 67 mm,Parchment,Arabic,Sinai Arabic 1,5.1,
Sinai Arabic 2,,Work,901/1000,10th c.,266 ff. ; 1476.3 g,codex,270 x 173 x 77 mm,Paper,Arabic,Sinai Arabic 2,5.1,
Sinai Arabic 11,,Work,1116,1116,176 ff. ; 478.3 g,codex,179 x 132 x 57 mm,Paper,Arabic,Sinai Arabic 11,5.1,
Sinai Arabic 26,,Work,1301/1400,14th c.,132 ff. ; 610.1 g,codex,197 x 154 x 59 mm,Paper,Arabic,Sinai Arabic 26,5.1,"Half-torn folios (ff. 129, 130, 131)"
Sinai Arabic 34,,Work,1282,1282,193 ff. ; 678.7 g,codex,201 x 141 x 52 mm,Paper,Arabic,Sinai Arabic 34,5.1,
Sinai Arabic 45,,Work,1381,1381,119 ff. ; 539.1 g,codex,184 x 140 x 55 mm,Paper,Arabic,Sinai Arabic 45,5.1,Latin letters on front board inside
Sinai Arabic 58,,Work,1401/1500,15th c.,141 ff. ; 437.8 g,codex,185 x 123 x 48 mm,Paper,Arabic,Sinai Arabic 58,5.1,
Sinai Arabic 72,,Work,897,897,119 ff. ; 682.3 g,codex,204 x 141 x 60 mm,Parchment,Arabic,Sinai Arabic 72,5.1,
Sinai Arabic 76,,Work,1201/1300,13th c.,323 ff. ; 2937.8 g,codex,286 x 217 x 105 mm,Paper,Arabic;Greek,Sinai Arabic 76,5.1,Greek text on ff. 317-322; Metal decoration on back cover
Sinai Arabic 92,,Work,1401/1500,15th c.,112 ff. ; 309 g,codex,180 x 137 x 28 mm,Paper,Arabic,Sinai Arabic 92,5.1,"Illumination on ff. 28r, 54r"
Sinai Arabic 94,,Work,1262,1262,289 ff. ; 1173.2 g,codex,203 x 145 x 87 mm,Paper,Arabic,Sinai Arabic 94,5.1,
Sinai Arabic 95,,Work,1277,1277,342 ff. ; 1448.2 g,codex,192 x 154 x 93 mm,Paper,Arabic,Sinai Arabic 95,5.1,
Sinai Arabic 111,,Work,1201/1300,13th c.,325 ff. ; 1302.4 g,codex,190 x 147 x 104 mm,Paper,Arabic,Sinai Arabic 111,5.1,Rodent damage
Sinai Arabic 140,,Work,1101/1200,12th c.,101 ff. ; 493.2 g,codex,173 x 134 x 43 mm,Paper,Arabic,Sinai Arabic 140,5.1,"Detached folios (ff. 59, 60); Manuscript contains palimpsested parchment with Syriac undertext (ff. 92-99)"
Sinai Arabic 141,,Work,1201/1300,13th c.,125 ff. ; 735.7 g,codex,209 x 152 x 56 mm,Paper,Arabic;Syriac,Sinai Arabic 141,5.1,
Sinai Arabic 155,,Work,801/1000,9th c.,94 ff. ; 377.6 g,codex,211 x 151 x 32 mm,Parchment,Arabic,Sinai Arabic 155,5.1,
Sinai Arabic 171,,Work,1296,1296,372 ff. ; 1406.4 g,codex,194 x 153 x 104 mm,Paper,Arabic,Sinai Arabic 171,5.1,
Sinai Arabic 180,,Work,1242,1242,137 ff. ; 444.1 g,codex,176 x 150 x 42 mm,Paper,Arabic,Sinai Arabic 180,5.1,
Sinai Arabic 185,,Work,1231,1231,185 ff. ; 815 g,codex,203 x 158 x 72 mm,Paper,Arabic,Sinai Arabic 185,5.1,"Manuscripts contains parchment leaves (ff. 1, 2, 51, 52)"
Sinai Arabic 211,,Work,1201/1300,13th c.,97 ff. ; 779.6 g,codex,216 x 159 x 68 mm,Paper,Arabic,Sinai Arabic 211,5.1,"Decoration on 38r, 65r, 84r"
Sinai Arabic 213,,Work,1201/1300,13th c.,103 ff. ; 445.4 g,codex,190 x 139 x 45 mm,Paper,Arabic,Sinai Arabic 213,5.1,
Sinai Arabic 218,,Work,1201/1300,13th c.,53 ff. ; 558 g,codex,186 x 153 x 48 mm,Paper,Arabic,Sinai Arabic 218,5.1,
Sinai Arabic 219,,Work,1201/1300,13th c.,132 ff. ; 584.6 g,codex,183 x 142 x 50 mm,Paper,Arabic,Sinai Arabic 219,5.1,
Sinai Arabic 235,,Work,1581,1581,211 ff. ; 560.4 g,codex,176 x 123 x 63 mm,Paper,Arabic,Sinai Arabic 235,5.1,
Sinai Arabic 241,,Work,1201/1300,13th c.,136 ff. ; 646.2 g,codex,179 x 139 x 55 mm,Paper,Arabic,Sinai Arabic 241,5.1,
Sinai Arabic 243,,Work,1201/1300,13th c.,229 ff. ; 771.2 g,codex,174 x 137 x 73 mm,Paper,Arabic,Sinai Arabic 243,5.1,
Sinai Arabic 244,,Work,1288,1288,344 ff. ; 1239.4 g,codex,200 x 152 x 105 mm,Paper,Arabic,Sinai Arabic 244,5.1,Considerable rodent damage
Sinai Arabic 262,,Work,1201/1300,13th c.,207 ff. ; 859.1 g,codex,187 x 144 x 79 mm,Paper,Arabic;Syriac,Sinai Arabic 262,5.1,Rodent damage on last two folios
Sinai Arabic 266,,Work,1322,1322,134 ff. ; 759.7 g,codex,205 x 154 x 48 mm,Paper,Arabic;Greek,Sinai Arabic 266,5.1,
Sinai Arabic 279,,Work,1101/1200,12th c.,112 ff. ; 419.3 g,codex,197 x 149 x 39 mm,Paper,Arabic,Sinai Arabic 279,5.1,
Sinai Arabic 284,,Work,1001/1200,11th c.,281 ff. ; 822.2 g,codex,183 x 150 x 66 mm,Paper,Arabic,Sinai Arabic 284,5.1,
Sinai Arabic 320,,Work,1236,1236,217 ff. ; 794.6 g,codex,193 x 141 x 68 mm,Paper,Arabic,Sinai Arabic 320,5.1,
Sinai Arabic 322,,Work,1402,1402,227 ff. ; 984.4 g,codex,204 x 152 x 70 mm,Paper,Arabic,Sinai Arabic 322,5.1,
Sinai Arabic 323,,Work,1201/1300,13th c.,314 ff. ; 1166.2 g,codex,188 x 141 x 85 mm,Paper,Arabic,Sinai Arabic 323,5.1,Some split pages
Sinai Arabic 362,,Work,1236,1236,299 ff. ; 959.4 g,codex,178 x 139 x 93 mm,Paper,Arabic,Sinai Arabic 362,5.1,
Sinai Arabic 363,,Work,1262,1262,250 ff. ; 970.5 g,codex,181 x 145 x 76 mm,Paper,Arabic,Sinai Arabic 363,5.1,Foliation repeats (ff. 60-69); Illustration on f.1
Sinai Arabic 366,,Work,1201/1300,13th c.,266 ff. ; 793.6 g,codex,179 x 137 x 68 mm,Paper,Arabic,Sinai Arabic 366,5.1,
Sinai Arabic 375,,Work,1101/1300,12th c.,224 ff. ; 6742 g,codex,182 x 146 x 60 mm,Paper,Arabic,Sinai Arabic 375,5.1,
Sinai Arabic 381,,Work,1201/1300,13th c.,266 ff. ; 1092.2 g,codex,209 x 154 x 85 mm,Paper,Arabic,Sinai Arabic 381,5.1,"Rodent damage (f. 229 r); Folios stuck together (ff. 258-259, 261-262), ff. 258v, 259r could not be imaged"
Sinai Arabic 384,,Work,1221,1221,210 ff. ; 773.6 g,codex,177 x 144 x 63 mm,Paper,Arabic,Sinai Arabic 384,5.1,
Sinai Arabic 410A,,Work,1103,1103,143 ff. ; 347.9 g,codex,174 x 133 x 41 mm,Paper,Arabic,Sinai Arabic 410A,5.1,
Sinai Arabic 410B,,Work,1103,1103,164 ff. ; 483.7 g,codex,179 x 133 x 57 mm,Paper,Arabic,Sinai Arabic 410B,5.1,
Sinai Arabic 424,,Work,1201/1300,13th c.,96 ff. ; 306.9 g,codex,174 x 133 x 33 mm,Paper,Arabic,Sinai Arabic 424,5.1,
Sinai Arabic 442,,Work,1201/1300,13th c.,317 ff. ; 1202.6 g,codex,189 x 145 x 92 mm,Paper,Arabic,Sinai Arabic 442,5.1,
Sinai Arabic 453,,Work,1101/1200,12th c.,133 ff. ; 470.2 g,codex,173 x 173 x 50 mm,Paper,Arabic,Sinai Arabic 453,5.1,
Sinai Arabic 488,,Work,1201/1300,13th c.,54 ff. ; 253.9 g,codex,189 x 132 x 26 mm,Paper,Arabic,Sinai Arabic 488,5.1,
Sinai Arabic 497,,Work,1001/1100,11th c.,185 ff. ; 819.7 g,codex,191 x 151 x 73 mm,Paper,Arabic,Sinai Arabic 497,5.1,
Sinai Arabic 516,,Work,901/1100,10th c.,95 ff. ; 1073.2 g,codex,236 x 180 x 88 mm,Parchment,Arabic,Sinai Arabic 516,5.1,
