File name cleanup,File name cleanup,ingest package,coll id,Ms folio folder,File,Source,File Path
1v KTK pseudo WBUVUVb-MB780IR,2,CPANF-frg5,CPA NF frg. 5 1v,CPANF-frg5_001v_K-12-008_KTK_pseudo_WBUVUVb-MB780IR.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008/CPANF-frg5_001v_K-12-008_KTK_pseudo_WBUVUVb-MB780IR.tif
1v KTK pseudo WBUVUVb-VIS,2,CPANF-frg5,CPA NF frg. 5 1v,CPANF-frg5_001v_K-12-008_KTK_pseudo_WBUVUVb-VIS.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008/CPANF-frg5_001v_K-12-008_KTK_pseudo_WBUVUVb-VIS.tif
1v KTK pseudo WBUVUVP-VIS,2,CPANF-frg5,CPA NF frg. 5 1v,CPANF-frg5_001v_K-12-008_KTK_pseudo_WBUVUVP-VIS.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008/CPANF-frg5_001v_K-12-008_KTK_pseudo_WBUVUVP-VIS.tif
1v KTK sharpie MB365UV-MB780IR,2,CPANF-frg5,CPA NF frg. 5 1v,CPANF-frg5_001v_K-12-008_KTK_sharpie_MB365UV-MB780IR.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008/CPANF-frg5_001v_K-12-008_KTK_sharpie_MB365UV-MB780IR.tif
1v KTK sharpie MB365UV-VIS,2,CPANF-frg5,CPA NF frg. 5 1v,CPANF-frg5_001v_K-12-008_KTK_sharpie_MB365UV-VIS.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008/CPANF-frg5_001v_K-12-008_KTK_sharpie_MB365UV-VIS.tif
1v KTK sharpie WBUVUVb-MB780IR,2,CPANF-frg5,CPA NF frg. 5 1v,CPANF-frg5_001v_K-12-008_KTK_sharpie_WBUVUVb-MB780IR.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_001v_K-12-008/CPANF-frg5_001v_K-12-008_KTK_sharpie_WBUVUVb-MB780IR.tif
2bis r KTK pseudo MB365UV-MB780IR,2,CPANF-frg5,CPA NF frg. 5 2 bis r,CPANF-frg5_002-bis-r_K-12-005_KTK_pseudo_MB365UV-MB780IR.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_002-bis-r_K-12-005,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_002-bis-r_K-12-005/CPANF-frg5_002-bis-r_K-12-005_KTK_pseudo_MB365UV-MB780IR.tif
2bis v KTK pseudo WBUVUVb-MB780IR,2,CPANF-frg5,CPA NF frg. 5 2 bis v,CPANF-frg5_002-bis-v_K-12-006_KTK_pseudo_WBUVUVb-MB780IR.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_002-bis-v_K-12-006,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_002-bis-v_K-12-006/CPANF-frg5_002-bis-v_K-12-006_KTK_pseudo_WBUVUVb-MB780IR.tif
2bis v KTK pseudo WBUVUVb-VIS,2,CPANF-frg5,CPA NF frg. 5 2 bis v,CPANF-frg5_002-bis-v_K-12-006_KTK_pseudo_WBUVUVb-VIS.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_002-bis-v_K-12-006,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_002-bis-v_K-12-006/CPANF-frg5_002-bis-v_K-12-006_KTK_pseudo_WBUVUVb-VIS.tif
2bis v KTK sharpie MB365UV-MB780IR,2,CPANF-frg5,CPA NF frg. 5 2 bis v,CPANF-frg5_002-bis-v_K-12-006_KTK_sharpie_MB365UV-MB780IR.tif,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_002-bis-v_K-12-006,/Volumes/spp_ingest/IngestPackage2/CPANF-frg5/CPANF-frg5_002-bis-v_K-12-006/CPANF-frg5_002-bis-v_K-12-006_KTK_sharpie_MB365UV-MB780IR.tif
