File name cleanup,File name cleanup,ingest package,coll id,Ms folio folder,File,Source,File Path
c-d-1r-c-d-4v KTK pseudo MB365UV-MB780IR,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_MB365UV-MB780IR.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_MB365UV-MB780IR.tif
c-d-1r-c-d-4v KTK pseudo MB365UV-VIS,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_MB365UV-VIS.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_MB365UV-VIS.tif
c-d-1r-c-d-4v KTK pseudo WBUVO22-VIS,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_WBUVO22-VIS.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_WBUVO22-VIS.tif
c-d-1r-c-d-4v KTK pseudo WBUVUVb-MB780IR,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_WBUVUVb-MB780IR.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_WBUVUVb-MB780IR.tif
c-d-1r-c-d-4v KTK pseudo WBUVUVb-VIS,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_WBUVUVb-VIS.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_WBUVUVb-VIS.tif
c-d-1r-c-d-4v KTK pseudo WBUVUVP-VIS,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_WBUVUVP-VIS.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_pseudo_WBUVUVP-VIS.tif
c-d-1r-c-d-4v KTK sharpie avgUV-VIS,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_sharpie_avgUV-VIS.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_sharpie_avgUV-VIS.tif
c-d-1r-c-d-4v KTK sharpie MB365UV-MB780IR,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_sharpie_MB365UV-MB780IR.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_sharpie_MB365UV-MB780IR.tif
c-d-1r-c-d-4v KTK sharpie MB365UV-VIS,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_sharpie_MB365UV-VIS.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_sharpie_MB365UV-VIS.tif
c-d-1r-c-d-4v KTK sharpie WBUVB47-VIS,4,CPANF-frg12,"CPA NF frg. 12 c d 1r, c d 4v",CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_sharpie_WBUVB47-VIS.tif,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025,/Volumes/spp_ingest/IngestPackage4/CPANF-frg12/CPANF-frg12_c-d-001r-c-d-004v_K-24-025/CPANF-frg12_c-d-001r-c-d-004v_K-24-025_KTK_sharpie_WBUVB47-VIS.tif
