File name cleanup,File name cleanup,ingest package,coll id,Ms folio folder,File,Source,File Path
1r-4v KTK pseudo MB365UV-MB780IR,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_MB365UV-MB780IR.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_MB365UV-MB780IR.tif
1r-4v KTK pseudo MB365UV-VIS,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_MB365UV-VIS.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_MB365UV-VIS.tif
1r-4v KTK pseudo WBUVO22-VIS,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_WBUVO22-VIS.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_WBUVO22-VIS.tif
1r-4v KTK pseudo WBUVUVb-MB780IR,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_WBUVUVb-MB780IR.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_WBUVUVb-MB780IR.tif
1r-4v KTK pseudo WBUVUVb-VIS,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_WBUVUVb-VIS.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_WBUVUVb-VIS.tif
1r-4v KTK pseudo WBUVUVP-VIS,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_WBUVUVP-VIS.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_pseudo_WBUVUVP-VIS.tif
1r-4v KTK sharpie MB365UV-VIS,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_sharpie_MB365UV-VIS.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_sharpie_MB365UV-VIS.tif
1r-4v KTK sharpie WBUVG58-VIS,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_sharpie_WBUVG58-VIS.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_sharpie_WBUVG58-VIS.tif
1r-4v KTK sharpie WBUVO22-VIS,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_sharpie_WBUVO22-VIS.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_sharpie_WBUVO22-VIS.tif
1r-4v KTK sharpie WBUVUVb-MB780IR,4,SyrNF-frg28,"Syriac NF frg. 28 1r, 4v",SyrNF-frg28_001r-004v_K-27-001_KTK_sharpie_WBUVUVb-MB780IR.tif,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001,/Volumes/spp_ingest/IngestPackage4/SyrNF-frg28/SyrNF-frg28_001r-004v_K-27-001/SyrNF-frg28_001r-004v_K-27-001_KTK_sharpie_WBUVUVb-MB780IR.tif
