"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.copyrightStatus","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0001_a_1.tif","1","discovery","Front Board Outside","Front matter","","ark:/21198/z1v13847","ark:/21198/z1v13847/v224xm55","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Fv224xm55"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0002_b_000.tif","2","discovery","Front Board Inside","Front matter","","ark:/21198/z1v13847","ark:/21198/z1v13847/dj14vq9z","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Fdj14vq9z"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0003_f_001r.tif","3","discovery","f. 001r","Text","","ark:/21198/z1v13847","ark:/21198/z1v13847/fv41tt7x","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Ffv41tt7x"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0004_f_001v.tif","4","discovery","f. 001v","Text","","ark:/21198/z1v13847","ark:/21198/z1v13847/b467ts0k","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Fb467ts0k"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0005_f_002r.tif","5","discovery","f. 002r","Text","","ark:/21198/z1v13847","ark:/21198/z1v13847/jq70ng7h","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Fjq70ng7h"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0006_f_002v.tif","6","discovery","f. 002v","Text","","ark:/21198/z1v13847","ark:/21198/z1v13847/xx454694","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Fxx454694"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0007_f_003r.tif","7","discovery","f. 003r","Text","","ark:/21198/z1v13847","ark:/21198/z1v13847/0766x628","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2F0766x628"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0008_f_003v.tif","8","discovery","f. 003v","Text","","ark:/21198/z1v13847","ark:/21198/z1v13847/rh74409x","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Frh74409x"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0009_f_004r.tif","9","discovery","f. 004r","Text","","ark:/21198/z1v13847","ark:/21198/z1v13847/hg57jc42","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Fhg57jc42"
"Masters/sinaimasters/ara/arabic_0198/sld_arb0198_0010_f_004v.tif","10","discovery","f. 004v","Text","","ark:/21198/z1v13847","ark:/21198/z1v13847/qb13mn6s","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13847%2Fqb13mn6s"
