"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.copyrightStatus","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0013_f_005r.tif","13","discovery","f. 005r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/16816501","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F16816501"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0014_f_005v.tif","14","discovery","f. 005v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/dh93kg51","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fdh93kg51"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0015_f_006r.tif","15","discovery","f. 006r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/9r94r83f","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F9r94r83f"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0016_f_006v.tif","16","discovery","f. 006v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/5146f98g","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F5146f98g"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0017_f_007r.tif","17","discovery","f. 007r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/2598554v","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F2598554v"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0018_f_007v.tif","18","discovery","f. 007v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/sk382f1q","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fsk382f1q"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0019_f_008r.tif","19","discovery","f. 008r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/nh659r49","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fnh659r49"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0020_f_008v.tif","20","discovery","f. 008v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/nm25vg52","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fnm25vg52"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0021_f_009r.tif","21","discovery","f. 009r","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/1f703x34","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F1f703x34"
"Masters/sinaimasters/ara/arabic_0123/sld_arb0123_0022_f_009v.tif","22","discovery","f. 009v","Text","","ark:/21198/z1ks7vtv","ark:/21198/z1ks7vtv/7n27gg2p","Page","copyrighted","Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2F7n27gg2p"
