File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/q013k82v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/gw83s98d,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/0871r023,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/ts30tb67,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/dm95ng56,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/p937vx2k,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/r5032n1z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/cj00pb34,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/m6291v5q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0501/sld_arb0501_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z1p282gx,ark:/21198/z1p282gx/gk79cz28,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
