"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0013_f_005r.tif","13","discovery","f. 005r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/rt52vn90","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Frt52vn90",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0014_f_005v.tif","14","discovery","f. 005v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/mp54r67s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fmp54r67s",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0015_f_006r.tif","15","discovery","f. 006r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/vf08rg47","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fvf08rg47",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0016_f_006v.tif","16","discovery","f. 006v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/5h91sk80","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F5h91sk80",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0017_f_007r.tif","17","discovery","f. 007r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/fb04cc0r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Ffb04cc0r",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0018_f_007v.tif","18","discovery","f. 007v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/dn12778c","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fdn12778c",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0019_f_008r.tif","19","discovery","f. 008r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/p348bv7z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fp348bv7z",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0020_f_008v.tif","20","discovery","f. 008v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/jr73z33w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fjr73z33w",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0021_f_009r.tif","21","discovery","f. 009r","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/qv90bb6n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2Fqv90bb6n",""
"Masters/sinaimasters/ara/arabic_0411/sld_arb0411_0022_f_009v.tif","22","discovery","f. 009v","Text","","ark:/21198/z19k5fkf","ark:/21198/z19k5fkf/0s78p82f","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5fkf%2F0s78p82f",""
