"Shelfmark","Item ARK","Object Type","Date.normalized","Date.creation","Format.extent","Format.weight","Format","Format.dimensions","Support","Language","delivery","Comments","User Comments"
"Sinai Arabic NF M 5","","Work","","","8 ff.","23.7 g","codex","205 x 140 x 15.0 mm","Parchment","Arabic","arabic_newfinds","",""
"Sinai Arabic NF M 7","","Work","","","127 ff.","899.3 g","codex","212 x 146 x 63.0 mm","Parchment","Arabic","arabic_newfinds","",""
"Sinai Arabic NF M 12","","Work","","","174 ff.","612.1 g","codex","181 x 161 x 70.0 mm","Parchment","Arabic","arabic_newfinds","","z_996 found at 30r / z_997 found at 31r / z_998 found at 156r / z_999 found at 158r"
"Sinai Arabic NF M 15","","Work","","","40 ff.","197.2 g","codex","209 x 157 x 18.0 mm","Parchment","Arabic","arabic_newfinds","",""
"Sinai Arabic NF M 28","","Work","","","16 ff.","40.1 g","codex","192 x 140 x 20.0 mm","Parchment","Arabic","arabic_newfinds","","palimpsest"
"Sinai Arabic NF X 4","","Work","1192","1192","85 ff.","259.1 g","codex","185 x 138 x 25.0 mm","Paper","Arabic","arabic_newfinds","","z_999 / decorative elements: 56v"
