Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 129,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 135,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 136,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 143,Kamil,,,Evangelion,Old Collection,delivery 2
Sinai Arabic 149,Kamil,,,Lectionary,Old Collection,delivery 2
Sinai Arabic 175,Kamil,,,Lectionary,Old Collection,delivery 2
Sinai Arabic 188,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 194,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 195,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 199,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 205,Kamil,,,Horologion,Old Collection,delivery 2
Sinai Arabic 229,Kamil,,Prayers and Theotokia,Sticherarion,Old Collection,delivery 2
Sinai Arabic 240,Kamil,,Canons and Theotokia,Troparion,Old Collection,delivery 2
Sinai Arabic 252,Kamil,,Kathismata for feasts,Bible. Psalms|~|Psalter,Old Collection,delivery 2
Sinai Arabic 260,Kamil,,,Euchologion,Old Collection,delivery 2
Sinai Arabic 265,Kamil,,,Typikon,Old Collection,delivery 2
Sinai Arabic 276,Kamil,,Mimars by St. Gregory the Theologian,,Old Collection,delivery 2
Sinai Arabic 295,Kamil,,,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 2
Sinai Arabic 32,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 2
Sinai Arabic 367,Kamil,,Sayings of St. Dorotheus. Different Mimars,,Old Collection,delivery 2
Sinai Arabic 408,Kamil,,,Menologion,Old Collection,delivery 2
Sinai Arabic 409,Kamil,,,Menologion,Old Collection,delivery 2
Sinai Arabic 411,Kamil,,Lives of Saints and Martyrdoms,,Old Collection,delivery 2
Sinai Arabic 419,Kamil,,,Synaxarion,Old Collection,delivery 2
Sinai Arabic 420,Kamil,,,Synaxarion,Old Collection,delivery 2
Sinai Arabic 43,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 2
Sinai Arabic 441,Kamil,,"Mimars, Lives of Saints, and Varia",,Old Collection,delivery 2
Sinai Arabic 454,Kamil,,Varia,,Old Collection,delivery 2
Sinai Arabic 466,Kamil,,Canons,Sticherarion|~|Kontakarion,Old Collection,delivery 2
Sinai Arabic 496,Kamil,,Apophthegmata ; Lives of Saints,,Old Collection,delivery 2
Sinai Arabic 508,Kamil,,Lives of Saints ; Mimars,,Old Collection,delivery 2
Sinai Arabic 510,Kamil,,Selection of Mimars ; The story of John of Dailam,,Old Collection,delivery 2
