Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 65,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 1
Sinai Arabic 67,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 1
Sinai Arabic 7,Kamil,,,Bible. Chronicles,Old Collection,delivery 1
Sinai Arabic 9,Kamil,,,Bible. Old Testament,Old Collection,delivery 1
Sinai Syriac 126,Kamil,,,Anthologion,Old Collection,delivery 1
Sinai Syriac 127,Kamil,,Services,,Old Collection,delivery 1
Sinai Syriac 129,Kamil,,,Typikon,Old Collection,delivery 1
Sinai Syriac 190,Kamil,,,Triodion,Old Collection,delivery 1
Sinai Syriac 202,Kamil,,Services,,Old Collection,delivery 1
Sinai Syriac 208,Kamil,,,Octoechos,Old Collection,delivery 1
