Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 1,Kamil,,,Bible. Job|~|Bible. Daniel|~|Bible. Jeremiah|~|Bible. Ezekiel|~|Bible. Old Testament,Old Collection,delivery 5.1
Sinai Arabic 11,Kamil,,Varia,Prophetologion,Old Collection,delivery 5.1
Sinai Arabic 111,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 140,Kamil,,,Troparion|~|Kontakarion|~|Sticherarion|~|Evangelion|~|Lectionary,Old Collection,delivery 5.1
Sinai Arabic 141,Kamil,,,Evangelion|~|Lectionary,Old Collection,delivery 5.1
Sinai Arabic 155,Kamil,,,Bible. Epistles of Paul|~|Bible. Ecclesiasticus,Old Collection,delivery 5.1
Sinai Arabic 171,Kamil,,,Lectionary,Old Collection,delivery 5.1
Sinai Arabic 180,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 185,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 2,Kamil,,,Bible. Pentateuch|~|Bible. Old Testament,Old Collection,delivery 5.1
Sinai Arabic 211,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 213,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 218,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 219,Kamil,,,Horologion,Old Collection,delivery 5.1
Sinai Arabic 235,Kamil,,Prayers and Mimars,,Old Collection,delivery 5.1
Sinai Arabic 241,Kamil,,Canons and Theotokia,,Old Collection,delivery 5.1
Sinai Arabic 243,Kamil,,,Sticherarion|~|Troparion,Old Collection,delivery 5.1
Sinai Arabic 244,Kamil,,"Canons, Kathismata, Office of Genuflection and Prayers",Lectionary|~|Sticherarion|~|Troparion|~|Psalter|~|Bible. Psalms,Old Collection,delivery 5.1
Sinai Arabic 26,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 5.1
Sinai Arabic 262,Kamil,,"Prayers for the Monks and ill people, Arabic and Syriac",,Old Collection,delivery 5.1
Sinai Arabic 266,Kamil,,,Typikon|~|Lectionary,Old Collection,delivery 5.1
Sinai Arabic 279,Kamil,,Commentary on the Song of Songs by St. Gregory of Nyssa,,Old Collection,delivery 5.1
Sinai Arabic 284,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 5.1
Sinai Arabic 320,Kamil,,,Barlaam and Joasaph,Old Collection,delivery 5.1
Sinai Arabic 322,Kamil,,,Barlaam and Joasaph,Old Collection,delivery 5.1
Sinai Arabic 323,Kamil,,,Barlaam and Joasaph,Old Collection,delivery 5.1
Sinai Arabic 34,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 5.1
Sinai Arabic 362,Kamil,,Sayings of St. Dorotheus. Mimars of different saints,,Old Collection,delivery 5.1
Sinai Arabic 363,Kamil,,Sayings of St. Dorotheus. Different Mimars,,Old Collection,delivery 5.1
Sinai Arabic 366,Kamil,,Sayings of St. Dorotheus. Different Mimars,,Old Collection,delivery 5.1
Sinai Arabic 375,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 5.1
Sinai Arabic 381,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 5.1
Sinai Arabic 384,Kamil,,Hundred Problems of St. Barsanuphius ; The Life of St. Bios of Scetis,,Old Collection,delivery 5.1
Sinai Arabic 410A,Kamil,,,Synaxarion,Old Collection,delivery 5.1
Sinai Arabic 410B,Kamil,,,Synaxarion,Old Collection,delivery 5.1
Sinai Arabic 424,Kamil,,Hymns for the Feasts,,Old Collection,delivery 5.1
Sinai Arabic 442,Kamil,,Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 45,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 5.1
Sinai Arabic 453,Kamil,,Varia,,Old Collection,delivery 5.1
Sinai Arabic 488,Kamil,,Life of St. Onuphrius. Lives of the forty martyrs of Sebastia,,Old Collection,delivery 5.1
Sinai Arabic 497,Kamil,,Mimar ; Apophthegmata,,Old Collection,delivery 5.1
Sinai Arabic 516,Kamil,,An anonymous history of the wars of King Sapor with the Emperor of Byzantium,,Old Collection,delivery 5.1
Sinai Arabic 521,Kamil,,"Lives of SS. Epiphanius Bishop of Cyprus, and John Chrysostom ; Martyrdom of St. Peter Patriarch of Alexandria",,Old Collection,delivery 5.1
Sinai Arabic 522,Kamil,,"Lives of SS. Elias, Sabas, and John of the Golden Gospel",,Old Collection,delivery 5.1
Sinai Arabic 528,Kamil,,Life of St. John Chrysostom written by George Metropolitan of Alexandria,,Old Collection,delivery 5.1
Sinai Arabic 533,Kamil,,Thirteen miscellaneous tracts and treatises,,Old Collection,delivery 5.1
Sinai Arabic 534,Kamil,,Kontakion and Church readings,,Old Collection,delivery 5.1
Sinai Arabic 537,Kamil,,Martyrdoms ; Mimars,,Old Collection,delivery 5.1
Sinai Arabic 550,Kamil,,Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 553,Kamil,,Varia,,Old Collection,delivery 5.1
Sinai Arabic 557,Kamil,,Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 562,Kamil,,Prayers,,Old Collection,delivery 5.1
Sinai Arabic 564,Kamil,,Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 58,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 5.1
Sinai Arabic 585,Kamil,,Selection of Lives of Saints from the Paradise of the Fathers,,Old Collection,delivery 5.1
Sinai Arabic 601,Kamil,,,Bible. Malachi|~|Bible. Jonah|~|Bible. Micah|~|Bible. Nahum|~|Bible. Habakkuk|~|Bible. Zephaniah|~|Bible. Haggai|~|Bible. Zechariah,Old Collection,delivery 5.1
Sinai Arabic 682,Kamil,,,Euchologion,Old Collection,delivery 5.1
Sinai Arabic 72,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 76,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 92,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 94,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
Sinai Arabic 95,Kamil,,,Bible. Gospels,Old Collection,delivery 5.1
