Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 10,Kamil,,,Bible. Pentateuch|~|Bible. Old Testament,Old Collection,delivery 4.3
Sinai Arabic 104,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 110,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 112,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 12,Kamil,,,Prophetologion,Old Collection,delivery 4.3
Sinai Arabic 122,Kamil,,,Evangelion,Old Collection,delivery 4.3
Sinai Arabic 130,Kamil,,,Evangelion,Old Collection,delivery 4.3
Sinai Arabic 15,Kamil,,,Prophetologion,Old Collection,delivery 4.3
Sinai Arabic 150,Kamil,,,Lectionary,Old Collection,delivery 4.3
Sinai Arabic 163,Kamil,,,Lectionary,Old Collection,delivery 4.3
Sinai Arabic 164,Kamil,,,Bible. Acts|~|Bible. Epistles,Old Collection,delivery 4.3
Sinai Arabic 174,Kamil,,,Lectionary,Old Collection,delivery 4.3
Sinai Arabic 250,Kamil,,Varia,Kontakarion|~|Sticherarion,Old Collection,delivery 4.3
Sinai Arabic 267,Kamil,,,Typikon,Old Collection,delivery 4.3
Sinai Arabic 274,Kamil,,Mimars by St. Gregory the Theologian,,Old Collection,delivery 4.3
Sinai Arabic 282,Kamil,,,"John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 4.3
Sinai Arabic 285,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 4.3
Sinai Arabic 286,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 4.3
Sinai Arabic 287,Kamil,,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",Old Collection,delivery 4.3
Sinai Arabic 308,Kamil,,Six Mimars on Priesthood by St. John Chrysostom,,Old Collection,delivery 4.3
Sinai Arabic 31,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 4.3
Sinai Arabic 314,Kamil,,Works of St. Ephraem the Syrian ; Works of Bishop Dionysius the Areopagite,,Old Collection,delivery 4.3
Sinai Arabic 332,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 4.3
Sinai Arabic 338,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 4.3
Sinai Arabic 340,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 4.3
Sinai Arabic 371,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 4.3
Sinai Arabic 374,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 4.3
Sinai Arabic 376,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 4.3
Sinai Arabic 399,Kamil,,,Menologion,Old Collection,delivery 4.3
Sinai Arabic 415,Kamil,,,Synaxarion,Old Collection,delivery 4.3
Sinai Arabic 418,Kamil,,,Synaxarion,Old Collection,delivery 4.3
Sinai Arabic 421,Kamil,,,Synaxarion,Old Collection,delivery 4.3
Sinai Arabic 437,Kamil,,"Teachings of SS. John Chrysostom, Basil, Ephraem, Zosima and the rest of the Holy Fathers",,Old Collection,delivery 4.3
Sinai Arabic 440,Kamil,,"Lives of Saints, Martyrdoms, Mimars, Commentaries, Apophthegmata and Theological Treatises",,Old Collection,delivery 4.3
Sinai Arabic 447,Kamil,,Varia,"John Chrysostom, Saint, -407. Homilies on Genesis",Old Collection,delivery 4.3
Sinai Arabic 482,Kamil,,Varia,,Old Collection,delivery 4.3
Sinai Arabic 493,Kamil,,The Book of the Master and the Pupil (twenty-two discourses),,Old Collection,delivery 4.3
Sinai Arabic 5,Kamil,,Commentary on Exodus,,Old Collection,delivery 4.3
Sinai Arabic 6,Kamil,,Commentary on Exodus,,Old Collection,delivery 4.3
Sinai Arabic 61,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.3
Sinai Arabic 70,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 78,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 90,Kamil,,,Bible. Gospels,Old Collection,delivery 4.3
Sinai Arabic 96,Kamil,,,Lectionary,Old Collection,delivery 4.3
Sinai Arabic 505,Kamil,,Varia,,Old Collection,delivery 4.4
Sinai Arabic 547,Kamil,,Paradise of the Fathers,,Old Collection,delivery 4.4
Sinai Arabic 563,Kamil,,Paradise of the Fathers,,Old Collection,delivery 4.4
Sinai Arabic 579,Kamil,,Long treatise on Logic,,Old Collection,delivery 4.4
