Shelfmark,References,References with page numbers,Descriptive title,AltTitle.uniform,Collection,delivery
Sinai Arabic 102,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 108,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 109,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 113,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 116,Kamil,,,Lectionary,Old Collection,delivery 4.1
Sinai Arabic 132,Kamil,,,Evangelion,Old Collection,delivery 4.1
Sinai Arabic 137,Kamil,,,Evangelion,Old Collection,delivery 4.1
Sinai Arabic 139,Kamil,,,Evangelion,Old Collection,delivery 4.1
Sinai Arabic 172,Kamil,,,Lectionary,Old Collection,delivery 4.1
Sinai Arabic 173,Kamil,,,Lectionary,Old Collection,delivery 4.1
Sinai Arabic 178,Kamil,,,Lectionary,Old Collection,delivery 4.1
Sinai Arabic 18,Kamil,,,Prophetologion,Old Collection,delivery 4.1
Sinai Arabic 231,Kamil,,,Troparion,Old Collection,delivery 4.1
Sinai Arabic 25,Kamil,,,Bible. Psalms|~|Horologion|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 293,Kamil,,,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 4.1
Sinai Arabic 294,Kamil,,,"John Chrysostom, Saint, -407. Homilies on John",Old Collection,delivery 4.1
Sinai Arabic 333,Kamil,,Mimars of St. John Climax,,Old Collection,delivery 4.1
Sinai Arabic 354,Kamil,,"Mimars of St. Isaac the Syrian ; Apophthegmata ; Treatises by SS. Gregory, Basil and John Chrysostom",,Old Collection,delivery 4.1
Sinai Arabic 359,Kamil,,The Spiritual Paradise of the Fathers ; Sayings of St. Dorotheus,,Old Collection,delivery 4.1
Sinai Arabic 360,Kamil,,Paradise of the Fathers ; Sayings of St. Dorotheus,,Old Collection,delivery 4.1
Sinai Arabic 368,Kamil,,Miscellaneous Mimars,,Old Collection,delivery 4.1
Sinai Arabic 380,Kamil,,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",Old Collection,delivery 4.1
Sinai Arabic 383,Kamil,,41 Problems by St. Simeon ; Book of 400 Chapters by St. Thalassius,,Old Collection,delivery 4.1
Sinai Arabic 42,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 422,Kamil,,,Synaxarion,Old Collection,delivery 4.1
Sinai Arabic 44,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 443,Kamil,,Mimars ; Lives of Saints ; Martyrdoms,,Old Collection,delivery 4.1
Sinai Arabic 446,Kamil,,"Mimars by SS. Macarius, Basil, Isaac the Syrian, Ephraem the Syrian and Maximus",,Old Collection,delivery 4.1
Sinai Arabic 455,LOC,,"Mimars, Lives of Saints and Old Testament",,Old Collection,delivery 4.1
Sinai Arabic 457,Kamil,,Varia,,Old Collection,delivery 4.1
Sinai Arabic 48,Kamil,,,Bible. Psalms|~|Bible. Odes|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 66,Kamil,,,Bible. Psalms|~|Psalter,Old Collection,delivery 4.1
Sinai Arabic 77,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 79,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 83,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 87,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 88,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 91,Kamil,,,Bible. Gospels,Old Collection,delivery 4.1
Sinai Arabic 460,Kamil,,Lives of Saints and Martyrdoms,,Old Collection,delivery 4.2
Sinai Arabic 474,Kamil,,Mimars and Martyrdoms,,Old Collection,delivery 4.2
Sinai Arabic 475,Kamil,,"Mimars, Lives of Saints, Epistles",,Old Collection,delivery 4.2
Sinai Arabic 477,Kamil,,Varia,,Old Collection,delivery 4.2
Sinai Arabic 489,Kamil,,,Bible. Genesis,Old Collection,delivery 4.2
Sinai Arabic 507,Kamil,,Commentary on Gospels for the Holy Week ; Martyrdom of St. Gregory,,Old Collection,delivery 4.2
Sinai Arabic 509,Kamil,,Mimars ; Apophthegmata ; Lives of Saints,,Old Collection,delivery 4.2
Sinai Arabic 520,Kamil,,Martyrdoms and Lives of Saints ; Mimars,,Old Collection,delivery 4.2
Sinai Arabic 529,Kamil,,Lives of SS. John Chrysostom and Irene,,Old Collection,delivery 4.2
Sinai Arabic 535,Kamil,,Martyrdoms and Lives of Saints ; Mimars,,Old Collection,delivery 4.2
Sinai Arabic 536,Kamil,,Paradise of the Fathers ; Lives of Saints,,Old Collection,delivery 4.2
Sinai Arabic 541,Kamil,,Life of St. Pachomius and some of his disciples,,Old Collection,delivery 4.2
Sinai Arabic 560,Kamil,,Mimars,,Old Collection,delivery 4.2
Sinai Arabic 565,Kamil,,Paradise of the Fathers,,Old Collection,delivery 4.2
Sinai Arabic 578,Kamil,,The diseases of the eye and their treatment by ‘Alī ibn Īsā,,Old Collection,delivery 4.2
Sinai Arabic 587,Kamil,,,Horologion,Old Collection,delivery 4.2
Sinai Arabic 625,Kamil,,Two religious debates between a Moslem prince and a Christian monk in presence of the Caliph,,Old Collection,delivery 4.2
Sinai Arabic 676,Kamil,,Treatises (34) by John Chrysostom,,Old Collection,delivery 4.2
Sinai Arabic 696,Kamil,,Covenant of the Prophet,,Old Collection,delivery 4.2
