Title,Item ARK,Object Type,Date.normalized,Date.creation,Format.extent,Format.weight,Format,Format.dimensions,Support,Language,AltIdentifier.local,delivery,Comments,User Comments
Sinai Arabic 20,,Work,1201/1300,13th c.,230ff.,617.9 g,codex,165 x 120 x 69.0 mm,Parchment,Arabic,Sinai Arabic 20,6.1,No front board / No back board / 163AB / NO 173,
Sinai Arabic 21,,Work,1001/1100,11th c.,197ff.,610.5 g,codex,150 x 117 x 75.0 mm,Parchment,Arabic,Sinai Arabic 21,6.1,24AB / 62AB,
Sinai Arabic 41,,Work,1201/1300,13th c.,201ff.,382.1 g,codex,152 x 125 x 55.0 mm,Paper,Arabic,Sinai Arabic 41,6.1,NO 17 / 18AB / NO 202 / glued together: 46v-47r,z_998 / z_999
Sinai Arabic 51,,Work,1201/1300,13th c.,136ff.,723.7 g,codex,179 x 140 x 70.0 mm,Paper,Arabic,Sinai Arabic 51,6.1,,
Sinai Arabic 62,,Work,1312,1312,215ff.,442.4 g,codex,145 x 112 x 72.0 mm,Paper,Arabic,Sinai Arabic 62,6.1,No front cover/ glued together: 196v  197r / 131AB,f.48 written as f.18 /  f.97 written as f.95
Sinai Arabic 63,,Work,1201/1300,13th c.,338ff.,1034 g,codex,167 x 141 x 91.0 mm,Paper,Arabic,Sinai Arabic 63,6.1,NO 37 / 66AB / 171AB / 316AB,z_999 found at y_999 / y_999a / z_3a
Sinai Arabic 74,,Work,801/900,9th c.,255ff.,878.9 g,codex,171 x 134 x 100.0 mm,Parchment,Arabic,Sinai Arabic 74,6.1,38AB,
Sinai Arabic 82,,Work,1287,1287,246ff.,1377.9 g,codex,229 x 157 x 79.0 mm,Paper,Arabic,Sinai Arabic 82,6.1,145AB,
Sinai Arabic 115,,Work,1201/1300,13th c.,279ff.,958.8 g,codex,181 x 148 x 72.0 mm,Paper,Arabic,Sinai Arabic 115,6.1,,
Sinai Arabic 124,,Work,1201/1300,13th c.,236ff.,1136.2 g,codex,213 x 154 x 70.0 mm,Paper,Arabic;Greek,Sinai Arabic 124,6.1,17AB / 84AB / 222AB / No back board / 199verso till end Greek Lectionary with incomplete beginning,
Sinai Arabic 144,,Work,1054,1054,204ff.,843 g,codex,184 x 146 x 76.0 mm,Paper,Arabic,Sinai Arabic 144,6.1,,
Sinai Arabic 146,,Work,1201/1300,13th c.,56ff.,219.4 g,codex,211 x 149 x 16.0 mm,Paper,Arabic,Sinai Arabic 146,6.1,,y_999=f.57r
Sinai Arabic 152,,Work,1201/1300,13th c.,302ff.,572 g,codex,142 x 110 x 76.0 mm,Paper,Arabic,Sinai Arabic 152,6.1,NO 213 / No front cover,
Sinai Arabic 159,,Work,1199,1199,273ff.,1222.6 g,codex,215 x 157 x 85.0 mm,Paper,Arabic,Sinai Arabic 159,6.1,,
Sinai Arabic 160,,Work,1201/1300,13th c.,238ff.,1067.9 g,codex,212 x 152 x 71.0 mm,Paper,Arabic,Sinai Arabic 160,6.1,,
Sinai Arabic 168,,Work,1238,1238,506ff.,2046.2 g,codex,182 x 160 x 142.0 mm,Paper,Arabic,Sinai Arabic 168,6.1,,
Sinai Arabic 190,,Work,1201/1300,13th c.,223ff.,538.9 g,codex,147 x 121 x 79.0 mm,Paper,Arabic,Sinai Arabic 190,6.1,1A is detouched leaf with a decorative border at the top of the recto / 1AB / 215ABC,z_999
Sinai Arabic 220,,Work,1390,1390,215ff.,544.1 g,codex,145 x 107 x 74.0 mm,Paper,Arabic,Sinai Arabic 220,6.1,,
