File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0018_f_009v.tif,18,discovery,f. 009v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/qd20rr11,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0019_f_010r.tif,19,discovery,f. 010r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/z2537q66,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0020_f_010v.tif,20,discovery,f. 010v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/md939c76,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0021_f_011r.tif,21,discovery,f. 011r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/2f63th08,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0022_f_011v.tif,22,discovery,f. 011v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/h459kc8x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0023_f_012r.tif,23,discovery,f. 012r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/3w62vm6s,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0024_f_012v.tif,24,discovery,f. 012v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/3b43kh1s,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0025_f_013r.tif,25,discovery,f. 013r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/1s293203,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0026_f_013v.tif,26,discovery,f. 013v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/9w452f32,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0027_f_014r.tif,27,discovery,f. 014r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/j4710k3j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0028_f_014v.tif,28,discovery,f. 014v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/1n47j32d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0029_f_015r.tif,29,discovery,f. 015r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/tj931t4h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0030_f_015v.tif,30,discovery,f. 015v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/ff99b22b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0031_f_016r.tif,31,discovery,f. 016r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/m727bk1v,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0032_f_016v.tif,32,discovery,f. 016v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/kd486104,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0033_f_017r.tif,33,discovery,f. 017r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/wm381f8d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0034_f_017v.tif,34,discovery,f. 017v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/fm09kk9n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0035_f_018r.tif,35,discovery,f. 018r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/4478mb48,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0036_f_018v.tif,36,discovery,f. 018v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/4h63pz3z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0037_f_019r.tif,37,discovery,f. 019r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/dx62dq7x,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0038_f_019v.tif,38,discovery,f. 019v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/nq09xb3j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0039_f_020r.tif,39,discovery,f. 020r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/zd67nd1r,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0040_f_020v.tif,40,discovery,f. 020v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/k466wc9p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0041_f_021r.tif,41,discovery,f. 021r,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/6r02v934,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0295/sld_arb0295_0042_f_021v.tif,42,discovery,f. 021v,Text,,ark:/21198/z1th9r01,ark:/21198/z1th9r01/c094w49f,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
