File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/9k36hc4c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/8r903n3c,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0003_f_002r.tif,3,discovery,f. 002r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/jz25qr8z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0004_f_002v.tif,4,discovery,f. 002v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/9d30p36s,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0005_f_003r.tif,5,discovery,f. 003r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/wx15x87d,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0006_f_003v.tif,6,discovery,f. 003v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/q049kc1m,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0007_f_004r.tif,7,discovery,f. 004r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/hp750j58,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0008_f_004v.tif,8,discovery,f. 004v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/zf40xg73,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0009_f_005r.tif,9,discovery,f. 005r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/hw23gq8p,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0010_f_005v.tif,10,discovery,f. 005v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/g137mg3n,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0011_f_006r.tif,11,discovery,f. 006r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/c906nv14,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0012_f_006v.tif,12,discovery,f. 006v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/th82cw0w,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0013_f_007r.tif,13,discovery,f. 007r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/j464pt9z,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0014_f_007v.tif,14,discovery,f. 007v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/vn09m168,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0015_f_008r.tif,15,discovery,f. 008r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/xm80tg22,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0016_f_008v.tif,16,discovery,f. 008v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/4h93md8h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0017_f_009r.tif,17,discovery,f. 009r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/pq547q0j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0018_f_009v.tif,18,discovery,f. 009v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/w6472c5t,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0019_f_010r.tif,19,discovery,f. 010r,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/n006v939,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0001b/sld_syr0001b_0020_f_010v.tif,20,discovery,f. 010v,Text,,ark:/21198/z1h42vts,ark:/21198/z1h42vts/1m11pj8h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
