File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/7167zz1j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/60804b21,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/8s678w5k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/w892t27b,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/kd422f28,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/5r19b71k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/nz650b63,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/2t347p9h,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/rp53ww9j,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0548/sld_arb0548_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z1126wx1,ark:/21198/z1126wx1/jk30hc7k,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
