File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights statement (local)
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/cd13rz45,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/tk751q4d,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/dw79478p,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/8w87b32c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/1d30wp6k,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/w6513123,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0007_f_004r.tif,7,discovery,f. 004r,Text,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/j448nm4x,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0008_f_004v.tif,8,discovery,f. 004v,Text,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/1x382g0c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0009_f_005r.tif,9,discovery,f. 005r,Text,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/7639s839,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0199/sld_arb0199_0010_f_005v.tif,10,discovery,f. 005v,Text,,ark:/21198/z1vh6s4d,ark:/21198/z1vh6s4d/sw825x9w,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
