"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0013_f_007r.tif","13","discovery","f. 007r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/5153wx44","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F5153wx44"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0014_f_007v.tif","14","discovery","f. 007v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/21108m51","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F21108m51"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0015_f_008r.tif","15","discovery","f. 008r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/q857b556","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fq857b556"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0016_f_008v.tif","16","discovery","f. 008v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/1p26tm4d","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F1p26tm4d"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0017_f_009r.tif","17","discovery","f. 009r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/cd33446h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fcd33446h"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0018_f_009v.tif","18","discovery","f. 009v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/5d96bd69","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F5d96bd69"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0019_f_010r.tif","19","discovery","f. 010r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/7878dd0z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2F7878dd0z"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0020_f_010v.tif","20","discovery","f. 010v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/vf573d91","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fvf573d91"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0021_f_011r.tif","21","discovery","f. 011r","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/br00d832","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Fbr00d832"
"Masters/sinaimasters/ara/arabic_0508/sld_arb0508_0022_f_011v.tif","22","discovery","f. 011v","Text","","ark:/21198/z1db957p","ark:/21198/z1db957p/tx60hf29","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db957p%2Ftx60hf29"
