File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0018_f_008v.tif,18,discovery,f. 008v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/g456pk32,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0019_f_009r.tif,19,discovery,f. 009r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/bv34gk4n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0020_f_009v.tif,20,discovery,f. 009v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/h331rz81,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0021_f_010r.tif,21,discovery,f. 010r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/1567h94z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0022_f_010v.tif,22,discovery,f. 010v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/w809km5j,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0023_f_011r.tif,23,discovery,f. 011r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/pv32g66f,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0024_f_011v.tif,24,discovery,f. 011v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/31118d2z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0025_f_012r.tif,25,discovery,f. 012r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/p209p93c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0026_f_012v.tif,26,discovery,f. 012v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/9551rx2q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0027_f_013r.tif,27,discovery,f. 013r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/wt54md7h,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0028_f_013v.tif,28,discovery,f. 013v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/2738x30x,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0029_f_014r.tif,29,discovery,f. 014r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/dg64wx8c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0030_f_014v.tif,30,discovery,f. 014v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/cs110p90,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0031_f_015r.tif,31,discovery,f. 015r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/xw50r93q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0032_f_015v.tif,32,discovery,f. 015v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/b5922894,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0033_f_016r.tif,33,discovery,f. 016r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/r650s02r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0034_f_016v.tif,34,discovery,f. 016v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/4c44gb04,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0035_f_017r.tif,35,discovery,f. 017r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/pz68nq3s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0036_f_017v.tif,36,discovery,f. 017v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/k375qj1v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0037_f_018r.tif,37,discovery,f. 018r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/6d98wk10,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0038_f_018v.tif,38,discovery,f. 018v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/9729t91t,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0039_f_019r.tif,39,discovery,f. 019r,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/mf13kj06,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0043/sld_syr0043_0040_f_019v.tif,40,discovery,f. 019v,Text,,ark:/21198/z1cc241z,ark:/21198/z1cc241z/g3583b0b,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
