"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0001_a_1.tif","1","discovery","Front Board Outside","Front matter","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/6d19j24s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F6d19j24s"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0002_b_000.tif","2","discovery","Front Board Inside","Front matter","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/xs42mw37","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Fxs42mw37"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0003_b_001r.tif","3","discovery","Flyleaf 001r","Front matter","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/8665mf46","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F8665mf46"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0004_b_001v.tif","4","discovery","Flyleaf 001v","Front matter","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/7254m81n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F7254m81n"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0005_f_001r.tif","5","discovery","f. 001r","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/4145jc7z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F4145jc7z"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0006_f_001v.tif","6","discovery","f. 001v","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/s402623z","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Fs402623z"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0007_f_002r.tif","7","discovery","f. 002r","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/9q74z22v","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F9q74z22v"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0008_f_002v.tif","8","discovery","f. 002v","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/2584z16t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F2584z16t"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0009_f_003r.tif","9","discovery","f. 003r","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/t019gq0w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Ft019gq0w"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0010_f_003v.tif","10","discovery","f. 003v","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/dt13fv7b","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Fdt13fv7b"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0011_f_004r.tif","11","discovery","f. 004r","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/8v67k19m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F8v67k19m"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0012_f_004v.tif","12","discovery","f. 004v","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/0s10rk0t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F0s10rk0t"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0013_f_005ar.tif","13","discovery","f. 005ar","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/b9143379","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Fb9143379"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0014_f_005av.tif","14","discovery","f. 005av","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/4b16vx1t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F4b16vx1t"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0015_f_005br.tif","15","discovery","f. 005br","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/d031630q","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Fd031630q"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0016_f_005bv.tif","16","discovery","f. 005bv","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/m816q26m","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Fm816q26m"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0017_f_006r.tif","17","discovery","f. 006r","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/6d55x46j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F6d55x46j"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0018_f_006v.tif","18","discovery","f. 006v","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/dn343r4t","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Fdn343r4t"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0019_f_007r.tif","19","discovery","f. 007r","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/mv34cd4b","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Fmv34cd4b"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0020_f_007v.tif","20","discovery","f. 007v","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/td29ww2n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2Ftd29ww2n"
"Masters/sinaimasters/ara/arabic_0240/sld_arb0240_0021_f_008r.tif","21","discovery","f. 008r","Text","","ark:/21198/z1g74j2p","ark:/21198/z1g74j2p/9080w74j","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  ","succeeded","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j2p%2F9080w74j"
