File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights statement (local)
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0018_f_005v.tif,18,discovery,f. 005v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/cm67bg2q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0019_f_006r.tif,19,discovery,f. 006r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/j827pd5r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0020_f_006v.tif,20,discovery,f. 006v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/9s538x7n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0021_f_007r.tif,21,discovery,f. 007r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/g034jj12,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0022_f_007v.tif,22,discovery,f. 007v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/tk56v660,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0023_f_008r.tif,23,discovery,f. 008r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/s650vx2k,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0024_f_008v.tif,24,discovery,f. 008v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/wr462x0z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0025_f_009r.tif,25,discovery,f. 009r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/wh60w04x,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0026_f_009v.tif,26,discovery,f. 009v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/7s275d4c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0027_f_010r.tif,27,discovery,f. 010r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/4g29h29v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0028_f_010v.tif,28,discovery,f. 010v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/h480kz92,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0029_f_011r.tif,29,discovery,f. 011r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/wz916t05,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0030_f_011v.tif,30,discovery,f. 011v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/px45d308,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0031_f_012r.tif,31,discovery,f. 012r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/g2639063,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0032_f_012v.tif,32,discovery,f. 012v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/50405743,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0033_f_013r.tif,33,discovery,f. 013r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/sk39bt4v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0034_f_013v.tif,34,discovery,f. 013v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/ks88wx46,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0035_f_014r.tif,35,discovery,f. 014r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/b732893k,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0036_f_014v.tif,36,discovery,f. 014v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/qk236b1h,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0037_f_015r.tif,37,discovery,f. 015r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/h325nf3k,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0038_f_015v.tif,38,discovery,f. 015v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/zw25k15r,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0039_f_016r.tif,39,discovery,f. 016r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/qh115d49,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0040_f_016v.tif,40,discovery,f. 016v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/t8915v6s,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0041_f_017r.tif,41,discovery,f. 017r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/ch12xq0v,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0042_f_017v.tif,42,discovery,f. 017v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/qt42419q,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0043_f_018r.tif,43,discovery,f. 018r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/rs12q244,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0044_f_018v.tif,44,discovery,f. 018v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/tz53q510,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0045_f_019r.tif,45,discovery,f. 019r,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/jq13568n,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/syr/syriac_0269/sld_syr0269_0046_f_019v.tif,46,discovery,f. 019v,Text,,ark:/21198/z1029vt3,ark:/21198/z1029vt3/p102zc2m,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
