File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights statement (local)
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/q140vp96,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/7s59x94j,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0003_b_000a.tif,3,discovery,Front Board Inside,Front matter,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/hn64cf30,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0004_f_001r.tif,4,discovery,f. 001r,Text,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/9h31477g,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0005_f_001v.tif,5,discovery,f. 001v,Text,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/s935c95z,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0006_f_002r.tif,6,discovery,f. 002r,Text,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/4453x04w,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0007_f_002v.tif,7,discovery,f. 002v,Text,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/ft514q7c,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0008_f_003r.tif,8,discovery,f. 003r,Text,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/7851p81g,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0009_f_003v.tif,9,discovery,f. 003v,Text,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/gn22nb73,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0010_f_004r.tif,10,discovery,f. 004r,Text,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/vr71dj6h,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
Masters/sinaimasters/ara/arabic_0032/sld_arb0032_0011_f_004v.tif,11,discovery,f. 004v,Text,,ark:/21198/z1nz9bx3,ark:/21198/z1nz9bx3/5d91ss79,Page,copyrighted,Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.  
