File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Alternative title(s),Work title (literal),Place of origin,Date created,Date binding,Date label,Scribe,Illuminator,Rubricator,Author,Commentator,Compiler,Translator,Subject name,Subject topic,Subject place,Subject temporal,Summary,Contents,Colophon,Incipit,Explicit,Motif,Bibliography,References,Provenance,Signature,General note,Physical Description,Extent,Format,Dimensions,Support,Foliation,Collation,Page layout,Writing and hands,Decoration/Illustrations,Inscription,Additions,Binding,Ink color,Features,Condition,Type of resource,Genre,Document type,Language,IIIF Text direction,Writing system,Script,Script note,Rights.copyrightStatus,Rights statement (local),Rights holder,Rights access,Licensing (?),Rights contact,Repository,AltIdentifier.local,Series,Collection (physical),Undertext object(s),Overtext mss,Other version,Ms cataloger/scholar,(originator of the digitized object),Lens make | Lens model,Aperature,Camera Operator
,,,Sinai Arabic 354,,,,"ark:/21198/z1fn29m1
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 354,,,,,,,,,,
,,,Sinai Arabic 359,,,,"ark:/21198/z19w1jz6
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 359,,,,,,,,,,
,,,Sinai Arabic 360,,,,"ark:/21198/z1640t4v
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 360,,,,,,,,,,
,,,Sinai Arabic 368,,,,"ark:/21198/z12c02c2
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 368,,,,,,,,,,
,,,Sinai Arabic 380,,,,"ark:/21198/z1xk9jx8
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 380,,,,,,,,,,
,,,Sinai Arabic 383,,,,"ark:/21198/z1sx7hm8
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 383,,,,,,,,,,
,,,Sinai Arabic 422,,,,"ark:/21198/z1p56rx9
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 422,,,,,,,,,,
,,,Sinai Arabic 443,,,,"ark:/21198/z1jd617t
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 443,,,,,,,,,,
,,,Sinai Arabic 446,,,,"ark:/21198/z1dn58h3
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 446,,,,,,,,,,
,,,Sinai Arabic 455,,,,"ark:/21198/z18w4hqg
",Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinai Arabic 455,,,,,,,,,,
