shelfmark,ark,front_board,back_board
Sinai Arabic 96,ark:/21198/z11v6zmr,False,True
Sinai Arabic 447,ark:/21198/z11r884x,True,True
Sinai Arabic 282,ark:/21198/z1c554gv,True,True
Sinai Arabic 308,ark:/21198/z1v7136c,True,True
Sinai Arabic 122,ark:/21198/z1hx2x8c,True,True
Sinai Arabic 338,ark:/21198/z1fx8v3z,True,True
Sinai Arabic 112,ark:/21198/z1np3p1j,False,False
Sinai Arabic 110,ark:/21198/z1sb5qbj,True,True
Sinai Arabic 104,ark:/21198/z1x36g3q,True,True
Sinai Arabic 70,ark:/21198/z1f496r2,True,True
Sinai Arabic 267,ark:/21198/z1mp6mwr,True,True
Sinai Arabic 61,ark:/21198/z1jw9zhj,True,True
Sinai Arabic 314,ark:/21198/z1qg0bgn,False,True
Sinai Arabic 274,ark:/21198/z1gx5w5f,True,True
Sinai Arabic 164,ark:/21198/z10v9xdg,True,True
Sinai Arabic 399,ark:/21198/z1t7421j,False,False
Sinai Arabic 10,ark:/21198/z12v40q2,True,True
Sinai Arabic 5,ark:/21198/z1bc5h4p,False,False
Sinai Arabic 415,ark:/21198/z1pg399t,True,False
Sinai Arabic 371,ark:/21198/z16d7bn6,False,True
Sinai Arabic 12,ark:/21198/z1z33h90,False,False
Sinai Arabic 6,ark:/21198/z16m4rdz,False,False
Sinai Arabic 374,ark:/21198/z12n6kw1,True,True
Sinai Arabic 163,ark:/21198/z14n0p6n,True,True
Sinai Arabic 15,ark:/21198/z1tb2rjt,True,True
Sinai Arabic 376,ark:/21198/z1z04srg,True,True
Sinai Arabic 174,ark:/21198/z1w39dxg,True,True
Sinai Syriac 83,ark:/21198/z1t16n8d,True,True
Sinai Arabic 597,ark:/21198/z1w10qj5,False,False
Sinai Syriac 82,ark:/21198/z1xs7d18,True,True
Sinai Arabic 595,ark:/21198/z10s171j,True,False
Sinai Syriac 46,ark:/21198/z1b29cxr,True,True
Sinai Arabic 547,ark:/21198/z1hq5hkh,True,True
Sinai Syriac 279,ark:/21198/z1r518c2,False,False
Sinai Syriac 79,ark:/21198/z12j7wf8,True,True
Sinai Arabic 579,ark:/21198/z1892qj3,True,False
Sinai Syriac 44,ark:/21198/z1fv04p5,True,True
Sinai Syriac 1a,ark:/21198/z1r79zws,True,True
Sinai Syriac 235,ark:/21198/z10k3t6h,True,True
Sinai Syriac 194,ark:/21198/z11k0vf7,False,False
Sinai Syriac 22,ark:/21198/z1v13pf7,False,False
Sinai Syriac 20,ark:/21198/z1zs4f46,True,True
Sinai Syriac 197,ark:/21198/z1s19m41,False,False
Sinai Syriac 196,ark:/21198/z1wt0bw1,True,True
Sinai Syriac 19,ark:/21198/z13j4xkn,False,False
Sinai Syriac 31,ark:/21198/z1kh25zq,False,False
Sinai Syriac 192,ark:/21198/z1932bsx,True,True
Sinai Syriac 193,ark:/21198/z15b1m32,True,True
Sinai Syriac 187,ark:/21198/z1dv33hb,True,True
Sinai Syriac 18,ark:/21198/z1795p8x,True,True
Sinai Syriac 218,ark:/21198/z18359nj,True,False
Sinai Syriac 230,ark:/21198/z14b4jz8,True,True
Sinai Syriac 185,ark:/21198/z1jm3v9k,True,True
Sinai Syriac 203,ark:/21198/z1nc7jv2,True,True
Sinai Syriac 28,ark:/21198/z1q82xrz,False,False
Sinai Syriac 2b,ark:/21198/z1mg975v,True,True
Sinai Syriac 212,ark:/21198/z1hm6t2v,True,True
Sinai Syriac 4,ark:/21198/z1gq8gdp,True,True
Sinai Arabic 505,ark:/21198/z1ng688s,True,True
Sinai Syriac 213,ark:/21198/z1cv62bh,True,True
Sinai Syriac 7,ark:/21198/z1c26f2j,False,False
Sinai Syriac 60,ark:/21198/z1698n50,False,False
Sinai Arabic 563,ark:/21198/z1cz4rtb,False,True
Sinai Arabic 589,ark:/21198/z14j1zrg,True,True
Sinai Syriac 270,ark:/21198/z1vt39pr,True,True
Sinai Syriac 110,ark:/21198/z1p85wh7,True,True
Syriac 50 + NF M 50 + NF M 63 + Chabot 75,ark:/21198/z1sv2f4k,False,False
Sinai Arabic 541,ark:/21198/z1v42csn,True,True
Sinai Syriac 96,ark:/21198/z186411t,True,True
Sinai Syriac 94,ark:/21198/z1cz4rsw,True,False
Sinai Arabic 625,ark:/21198/z16d7bmr,True,True
Sinai Arabic 578,ark:/21198/z1fv04nq,True,True
Sinai Arabic 587,ark:/21198/z1b29cw9,True,True
Sinai Syriac 50,ark:/21198/z1s489m7,True,True
Sinai Syriac 93,ark:/21198/z1hm6t1d,True,True
Sinai Arabic 536,ark:/21198/z1zw34gm,True,False
Sinai Arabic 696,ark:/21198/z1xw63d4,True,True
Sinai Syriac 8,ark:/21198/z196124r,True,True
Sinai Arabic 535,ark:/21198/z13j4xj6,False,False
Sinai Arabic 509,ark:/21198/z1gt75sj,False,False
Sinai Arabic 520,ark:/21198/z1c26f13,True,True
Sinai Syriac 35,ark:/21198/z1ww9296,True,True
Sinai Syriac 227,ark:/21198/z1vx215c,True,True
Sinai Arabic 477,ark:/21198/z1w39dw1,True,True
Sinai Greek 36,ark:/21198/z1dv33gw,True,True
Sinai Arabic 489,ark:/21198/z1rb8p5q,False,True
Sinai Syriac 229,ark:/21198/z1r518bm,True,True
Sinai Arabic 676,ark:/21198/z12n6kvk,False,True
Sinai Arabic 474,ark:/21198/z14j1zq1,True,False
Sinai Arabic 460,ark:/21198/z1892qhn,False,False
Sinai Greek 35,ark:/21198/z1jm3v84,True,True
Sinai Arabic 702,ark:/21198/z1pc4m19,True,True
Sinai Arabic 529,ark:/21198/z1795p7g,True,True
Sinai Syriac 14,ark:/21198/z11n9jq6,True,True
Sinai Arabic 475,ark:/21198/z10s1703,True,False
Sinai Arabic 699,ark:/21198/z1t45bq5,True,True
Sinai Syriac 13,ark:/21198/z15f09d1,True,True
Sinai Arabic 507,ark:/21198/z1mk7xgf,True,True
Sinai Arabic 560,ark:/21198/z1qc1n3s,True,True
Sinai Syriac 76,ark:/21198/z1nc7jtm,True,True
Sinai Syriac 259,ark:/21198/z1md0hkf,False,False
Sinai Syriac 107,ark:/21198/z10p2hmt,True,True
Sinai Syriac 106,ark:/21198/z14f3893,True,False
Sinai Syriac 266,ark:/21198/z1gq8gc7,True,True
Sinai Arabic 565,ark:/21198/z1km0wfz,True,True
Sinai Arabic 540,ark:/21198/z1qr6fsz,False,True
Sinai Arabic 144,ark:/21198/z1vm5x0x,True,True
Sinai Arabic 152,ark:/21198/z1m63427,False,True
Sinai Arabic 620,ark:/21198/z1z90x36,True,True
Sinai Arabic 146,ark:/21198/z1qz3vph,True,True
Sinai Syriac 255,ark:/21198/z12v40sz,True,True
Sinai Arabic 350,ark:/21198/z18p7j67,True,True
Sinai Arabic 230,ark:/21198/z1k662t3,True,True
Sinai Syriac 42,ark:/21198/z19k5vzb,True,True
Sinai Arabic 190,ark:/21198/z1350423,True,True
Sinai Syriac 278,ark:/21198/z1f496tz,False,False
Sinai Syriac 91,ark:/21198/z1224cf3,True,True
Sinai Arabic 221,ark:/21198/z1tq7k8v,True,True
Sinai Arabic 590,ark:/21198/z16t25cs,True,False
Sinai Arabic 220,ark:/21198/z1zc9mnr,True,True
Sinai Arabic 426,ark:/21198/z1n02r6b,True,True
Sinai Arabic 168,ark:/21198/z16x0vr8,True,True
Sinai Syriac 253,ark:/21198/z16m4rgv,True,True
Sinai Syriac 131,ark:/21198/z1db9kmk,True,True
Sinai Arabic 20,ark:/21198/z154468d,False,False
Sinai Arabic 21,ark:/21198/z11c3fjp,True,True
Sinai Arabic 586,ark:/21198/z1bg46s4,True,True
Sinai Syriac 130,ark:/21198/z1j40b7h,True,True
Sinai Arabic 545,ark:/21198/z1m05q3d,True,True
Sinai Syriac 246,ark:/21198/z1bc5h6k,True,True
Sinai Arabic 330,ark:/21198/z1df88vn,True,True
Sinai Arabic 318,ark:/21198/z1nz9sbv,True,True
Sinai Arabic 51,ark:/21198/z1rv26gv,True,True
Sinai Arabic 681,ark:/21198/z1k08p0g,True,True
Sinai Arabic 124,ark:/21198/z10c6dfr,True,True
Sinai Syriac 145,ark:/21198/z1127bb5,True,True
Sinai Arabic 82,ark:/21198/z17w7wvn,True,True
Sinai Arabic 41,ark:/21198/z1wm2z3v,False,False
Sinai Arabic 531,ark:/21198/z1vh76j4,True,True
Sinai Arabic 486,ark:/21198/z1087q2w,True,True
Sinai Arabic 445,ark:/21198/z1h720g0,True,True
Sinai Syriac 226,ark:/21198/z1kw70s3,False,False
Sinai Arabic 255,ark:/21198/z19p4k95,True,True
Sinai Syriac 152,ark:/21198/z1rj637w,True,True
Sinai Syriac 153,ark:/21198/z1mw41t4,True,True
Sinai Arabic 297,ark:/21198/z12532zr,True,True
Sinai Arabic 485,ark:/21198/z1418fs6,True,True
Sinai Arabic 675,ark:/21198/z1pr9dm4,True,True
Sinai Syriac 228,ark:/21198/z1g4681n,True,True
Sinai Syriac 17,ark:/21198/z1f77x96,True,True
Sinai Syriac 201,ark:/21198/z1qn7rg0,True,True
Sinai Syriac 175,ark:/21198/z1v99stf,True,True
Sinai Syriac 149,ark:/21198/z1w96twx,True,True
Sinai Syriac 160,ark:/21198/z17m1sm7,True,True
Sinai Arabic 307,ark:/21198/z1xh18vb,False,True
Sinai Arabic 115,ark:/21198/z1447541,True,True
Sinai Arabic 673,ark:/21198/z1tj05bd,False,False
Sinai Arabic 471,ark:/21198/z17q0h5r,True,True
Sinai Syriac 158,ark:/21198/z1h4396g,True,True
Sinai Syriac 170,ark:/21198/z103096b,True,True
Sinai Arabic 74,ark:/21198/z1cn8nn8,True,True
Sinai Syriac 165,ark:/21198/z13v11ww,True,True
Sinai Syriac 159,ark:/21198/z1cc2jf9,True,True
Sinai Arabic 316,ark:/21198/z1sr0j5g,True,True
