"Shelfmark","Item ARK","Object Type","Date.normalized","Date.creation","Format.extent","Format.weight","Format","Format.dimensions","Support","Language","delivery","Comments","User Comments"
"Sinai Arabic 13","","Work","1222","1222","386 ff.","2278.6 g","codex","271 x 182 x 98.0 mm","Paper","Arabic","7","NO 163",""
"Sinai Arabic 103","","Work","1201/1300","13th c.","311 ff.","849.9 g","codex","152 x 142 x 92.0 mm","Paper","Arabic","7","NO 223",""
"Sinai Arabic 114","","Work","1201/1300","13th c.","484 ff.","1756.4 g","codex","155 x 146 x 133.0 mm","Paper","Arabic","7","253AB",""
"Sinai Arabic 125","","Work","1250","1250","248 ff.","1743.6 g","codex","264 x 204 x 67.0 mm","Paper","Arabic","7","",""
"Sinai Arabic 138","","Work","1117","1117","350 ff.","2084.7 g","codex","266 x 187 x 99.0 mm","Paper","Arabic","7","ff. 1-2, 349-350 Greek parchment",""
"Sinai Arabic 154","","Work","801/900","9th c.","140 ff.","493.3 g","codex","184 x 137 x 53.0 mm","Parchment","Arabic","7","24AB",""
"Sinai Arabic 193","","Work","1372","1372","224 ff.","999.0 g","codex","187 x 150 x 90.0 mm","Paper","Arabic","7","214AB",""
"Sinai Arabic 202","","Work","1201/1300","13th c.","153 ff.","709.2 g","codex","198 x 143 x 84.0 mm","Paper","Arabic","7","",""
"Sinai Arabic 292","","Work","1201/1300","13th c.","377 ff.","2596.2 g","codex","276 x 193 x 106.0 mm","Paper","Arabic","7","157AB",""
"Sinai Arabic 356","","Work","1186","1186","217 ff.","1097.7 g","codex","259 x 186 x 219.0 mm","Paper","Arabic","7","1AB",""
"Sinai Arabic 358","","Work","1201/1300","13th c.","281 ff.","1737.5 g","codex","239 x 165 x 85.0 mm","Paper","Arabic","7","",""
"Sinai Arabic 392","","Work","1201/1300","13th c.","305 ff.","839.3 g","codex","176 x 140 x 87.0 mm","Paper","Arabic","7","1AB",""
"Sinai Arabic 431","","Work","901/1000","10th c.","325 ff.","1363.8 g","codex","191 x 151 x 110.0 mm","Parchment","Arabic","7","13AB / 181AB / 228AB / 297AB",""
"Sinai Arabic 438","","Work","1201/1300","13th c.","448 ff.","2159.6 g","codex","228 x 166 x 137.0 mm","Paper","Arabic","7","7AB / NO 217",""
"Sinai Arabic 481","","Work","1091","1091","338 ff.","2754.9 g","codex","268 x 199 x 128.0 mm","Paper","Arabic","7","","z999 found at 261r"
