Title,Object Type,Date.normalized,Date.creation,Format.extent,Format.weight,Format,Item ARK,Format.dimensions,Support,Language,AltIdentifier.local,delivery,Comments
Sinai Arabic 191,Work,1201/1300,13th c.,137 ff.,508.9 g,codex,ark:/21198/z17d4cxc,156 x 136 x 65.0 mm,Paper,Arabic,Sinai Arabic 191,6.2,
Sinai Arabic 192,Work,1201/1300,13th c.,130 ff.,276.8 g,codex,ark:/21198/z13r2bkx,145 x 120 x 39.0 mm,Paper,Arabic,Sinai Arabic 192,6.2,"decorative elements: 46v, 69v"
Sinai Arabic 207,Work,1644,1644,180 ff.,322.4 g,codex,ark:/21198/z1001kwz,152 x 115 x 43.0 mm,Paper,Arabic,Sinai Arabic 207,6.2,
Sinai Arabic 208,Work,1601/1700,17th c.,330 ff.,663.8 g,codex,ark:/21198/z1v7139q,168 x 141 x 77.0 mm,Paper,Arabic,Sinai Arabic 208,6.2,"decorative elements: 100r, 130r, 144r, 158r, 174r, 212r, 243r, 255r, 317r, 115v, 129v, 143v, 158v, 184v / stub f_081_sr, _sv, f_134_sar, _sav, f_134_sbr, _sbv, f_164_sar, _sav, f_164_sbr, _sbv, f_180_sr, _sv, f_227_sr, _sv, f_301_sr, _sv, f_312_sr, _sv"
Sinai Arabic 212,Work,1201/1300,13th c.,116 ff.,725.7 g,codex,ark:/21198/z1qg0bjj,189 x 150 x 70.0 mm,Paper,Arabic,Sinai Arabic 212,6.2,"decorative elements: 79r, 72v, 65v, 55v"
Sinai Arabic 214,Work,1248,1248,127 ff.,901.6 g,codex,ark:/21198/z1kp9kt8,220 x 155 x 65.0 mm,Paper,Arabic,Sinai Arabic 214,6.2,
Sinai Arabic 217,Work,1201/1300,13th c.,139 ff.,432.7 g,codex,ark:/21198/z1fx8v69,146 x 153 x 65.0 mm,Paper,Arabic,Sinai Arabic 217,6.2,
Sinai Arabic 223,Work,1774,1774,138 ff.,701.3 g,codex,ark:/21198/z1b583hq,217 x 170 x 32.0 mm,Paper,Arabic,Sinai Arabic 223,6.2,"decorative elements with Gold: 3v,  8r, 15v, 44r, 47r, 47v, 48r, 60r, 60v"
Sinai Arabic 226,Work,1201/1300,13th c.,239 ff.,715.7 g,codex,ark:/21198/z16h624t,151 x 121 x 82.0 mm,Paper,Arabic,Sinai Arabic 226,6.2,f. 133-135 split;decorative elements: 2r
Sinai Arabic 227,Work,1201/1300,13th c.,231 ff.,436.3 g,codex,ark:/21198/z12r59fj,146 x 119 x 62.0 mm,Paper,Arabic;Syriac,Sinai Arabic 227,6.2,
Sinai Arabic 234,Work,1771,1771,73 ff.,273.5 g,codex,ark:/21198/z1z04svt,173 x 117 x 23.0 mm,Paper,Arabic,Sinai Arabic 234,6.2,decorative elements: 2v
Sinai Arabic 236,Work,1298,1298,218 ff.,793.5 g,codex,ark:/21198/z1t7423f,195 x 135 x 70.0 mm,Paper,Arabic,Sinai Arabic 236,6.2,
Sinai Arabic 238,Work,1201/1300,13th c.,371 ff.,1255.3 g,codex,ark:/21198/z1pg39cq,181 x 148 x 92.0 mm,Paper,Arabic,Sinai Arabic 238,6.2,
Sinai Arabic 239,Work,1101/1200,12th c.,87 ff.,296.7 g,codex,ark:/21198/z1jq2jqw,164 x 133 x 33.0 mm,Paper,Arabic;Greek,Sinai Arabic 239,6.2,
Sinai Arabic 251,Work,1701/1800,18th c.,103 ff.,548.8 g,codex,ark:/21198/z1dz1t3x,226 x 166 x 29.0 mm,Paper,Arabic,Sinai Arabic 251,6.2,
Sinai Arabic 253,Work,1201/1300,13th c.,146 ff.,870.4 g,codex,ark:/21198/z1989rrt,190 x 147 x 67.0 mm,Paper,Arabic,Sinai Arabic 253,6.2,
Sinai Arabic 256,Work,1201/1300,13th c.,151 ff.,419.3 g,codex,ark:/21198/z15h911w,175 x 138 x 44.0 mm,Paper,Arabic,Sinai Arabic 256,6.2,
Sinai Arabic 257,Work,1601/1700,17th c.,146 ff.,650 g,codex,ark:/21198/z11r8878,215 x 161 x 35.0 mm,Paper,Arabic,Sinai Arabic 257,6.2,all text inside table / some calligraphy
Sinai Arabic 258,Work,1201/1300,13th c.,257 ff.,1321.7 g,codex,ark:/21198/z1x07rqf,225 x 154 x 100.0 mm,Paper,Arabic;Greek,Sinai Arabic 258,6.2,follows greek foliation left to right;left to right
Sinai Arabic 300,Work,1201/1300,13th c.,161 ff.,807.7 g,codex,ark:/21198/z1s7710h,241 x 175 x 57.0 mm,Paper,Arabic,Sinai Arabic 300,6.2,
Sinai Arabic 305,Work,1044,1044,212 ff.,888.1 g,codex,ark:/21198/z1ng68c4,218 x 159 x 56.0 mm,Paper,Arabic,Sinai Arabic 305,6.2,
Sinai Arabic 306,Work,1601/1700,17th c.,370 ff.,1030.4 g,codex,ark:/21198/z1ht471p,210 x 164 x 54.0 mm,Paper,Arabic,Sinai Arabic 306,6.2,
Sinai Arabic 310,Work,1001/1100,11th c.,96 ff.,229.1 g,codex,ark:/21198/z1d23gc5,243 x 157 x 21.0 mm,Paper,Arabic,Sinai Arabic 310,6.2,
Sinai Arabic 321,Work,1247,1247,310 ff.,1237.9 g,codex,ark:/21198/z1892qpw,192 x 147 x 89.0 mm,Paper,Arabic,Sinai Arabic 321,6.2,
Sinai Arabic 325,Work,1639,1639,275 ff.,499.8 g,codex,ark:/21198/z14j1zvt,163 x 121 x 48.0 mm,Paper,Arabic,Sinai Arabic 325,6.2,
Sinai Arabic 339,Work,1301/1400,14th c.,276 ff.,1100.2 g,codex,ark:/21198/z10s173f,220 x 164 x 51.0 mm,Paper,Arabic,Sinai Arabic 339,6.2,
Sinai Arabic 341,Work,1201/1300,13th c.,283 ff.,1407.5 g,codex,ark:/21198/z1w10qm2,215 x 167 x 105.0 mm,Parchment,Arabic,Sinai Arabic 341,6.2,f. 265r-266v sewn together
Sinai Arabic 342,Work,1601/1700,17th c.,143 ff.,676 g,codex,ark:/21198/z1r8000g,229 x 168 x 39.0 mm,Paper,Arabic,Sinai Arabic 342,6.2,
Sinai Arabic 344,Work,1201/1300,13th c.,216 ff.,1845.7 g,codex,ark:/21198/z1mk7xks,269 x 194 x 75.0 mm,Paper,Arabic,Sinai Arabic 344,6.2,
Sinai Arabic 347,Work,1223,1223,199 ff.,1364.8 g,codex,ark:/21198/z1gt75xb,258 x 192 x 92.0 mm,Paper,Arabic,Sinai Arabic 347,6.2,
Sinai Arabic 353,Work,1201/1300,13th c.,415 ff.,1258 g,codex,ark:/21198/z1c26f6b,181 x 147 x 98.0 mm,Paper,Arabic,Sinai Arabic 353,6.2,
Sinai Arabic 416,Work,1201/1300,13th c.,206 ff.,2643.8 g,codex,ark:/21198/z1795pc8,300 x 244 x 90.0 mm,Paper,Arabic,Sinai Arabic 416,6.2,decorative elements: 4r
Sinai Arabic 428,Work,10c.,10c.,347 ff.,1200.7 g,codex,ark:/21198/z13j4xnj,174 x 142 x 97.0 mm,Parchment,Arabic,Sinai Arabic 428,6.2,
Sinai Arabic 452,Work,1201/1300,13th c.,240 ff.,600.1 g,codex,ark:/21198/z1zs4f63,166 x 122 x 67.0 mm,Paper,Arabic,Sinai Arabic 452,6.2,
Sinai Arabic 461,Work,901/1000,10th c.,117 ff.,789.6 g,codex,ark:/21198/z1v13pjk,215 x 179 x 67.0 mm,Parchment,Arabic,Sinai Arabic 461,6.2,"erased text f. 25av, 25br / suspected palimpsest 25av;f. 26, 31 sewn together (interesting images for donors, publications)"
Sinai Arabic 490,Work,1201/1300,13th c.,491 ff.,3183.4 g,codex,ark:/21198/z1qc1n64,278 x 190 x 113.0 mm,Paper,Arabic,Sinai Arabic 490,6.2,
Sinai Arabic 500,Work,1101/1300,12th c.,292 ff.,715.6 g,codex,ark:/21198/z1km0wkr,185 x 140 x 70.0 mm,Paper,Arabic,Sinai Arabic 500,6.2,
Sinai Arabic 512,Work,1259,1259,231 ff.,498.3 g,codex,ark:/21198/z1fv04sh,144 x 116 x 77.0 mm,Paper,Arabic,Sinai Arabic 512,6.2,
Sinai Arabic 513,Work,901/1000,10th c.,390 ff.,853.4 g,codex,ark:/21198/z1b29d02,237 x 169 x 64.0 mm,Paper,Arabic,Sinai Arabic 513,6.2,
Sinai Arabic 523,Work,1201/1300,13th c.,141 ff.,514.4 g,codex,ark:/21198/z1698n7w,168 x 138 x 56.0 mm,Paper,Arabic,Sinai Arabic 523,6.2,
Sinai Arabic 530,Work,1233,1233,421 ff.,1437.3 g,codex,ark:/21198/z12j7wh5,173 x 148 x 115.0 mm,Paper,Arabic,Sinai Arabic 530,6.2,
Sinai Arabic 554,Work,1259,1259,314 ff.,642.9 g,codex,ark:/21198/z1xs7d4m,149 x 106 x 84.0 mm,Paper,Arabic,Sinai Arabic 554,6.2,
Sinai Arabic 556,Work,1101/1200,12th c.,184 ff.,368.5 g,codex,ark:/21198/z1t45bth,155 x 139 x 65.0 mm,Paper,Arabic,Sinai Arabic 556,6.2,
Sinai Arabic 568,Work,1201/1300,13th c.,248 ff.,614.8 g,codex,ark:/21198/z1pc4m53,141 x 118 x 82.0 mm,Paper,Arabic,Sinai Arabic 568,6.2,
Sinai Arabic 571,Work,1201/1300,13th c.,223 ff.,1495.7 g,codex,ark:/21198/z1jm3vdx,269 x 220 x 53.0 mm,Paper,Arabic,Sinai Arabic 571,6.2,
