Shelfmark,Item ARK,Object Type,Date.normalized,Date.creation,Format.extent,Format.weight,Format,Format.dimensions,Support,Language,delivery,Comments,User Comments
Arabic 567,,Work,1201/1300,13th c.,135 ff.,580.8 g,codex,225 x 186 x 34.0 mm,Paper,Arabic,6.3,110AB / 122AB,y_999=f.134r
Arabic 573,,Work,1791,1791,136 ff.,184.5 g,codex,156 x 110 x 24.0 mm,Paper,Arabic,6.3,27AB / 56AB / 57AB,
Arabic 580,,Work,989,989,208 ff.,877.5 g,codex,221 x 174 x 60.0 mm,Paper,Arabic,6.3,65AB / 155AB,z_999 found at 163r
Arabic 592,,Work,1201/1300,13th c.,150 ff.,787.8 g,codex,261 x 182 x 49.0 mm,Paper,Arabic,6.3,82AB / 140AB,z_999 found at 148r / 1 stub b_006-b_007
Arabic 593,,Work,1201/1300,13th c.,158 ff.,582.9 g,codex,225 x 163 x 43.0 mm,Paper,Arabic,6.3,27AB / NO 139,
Arabic 611,,Work,1601/1700,17th c.,97 ff.,151.3 g,codex,155 x 93 x 23.0 mm,Paper,Arabic,6.3,32AB / 47AB / 58AB / NO 62,
Arabic 619,,Work,1601/1800,17th c.,155 ff.,284.2 g,codex,160 x 114 x 36.0 mm,Paper,Arabic,6.3,,
Arabic 674,,Work,1601/1700,17th c.,303 ff.,786.3 g,codex,180 x 135 x 60.0 mm,Paper,Arabic,6.3,12AB / 279AB / 290AB,
Arabic 679,,Work,1201/1300,13th c.,109 ff.,663.5 g,codex,222 x 156 x 37.0 mm,Paper,Arabic,6.3,,
Arabic 684,,Work,1303,1303,335 ff.,2678.9 g,codex,280 x 209 x 105.0 mm,Paper,Arabic,6.3,NO 313 / f.321-327 repeats,
Arabic 687,,Work,1601/1700,17th c.,110 ff.,344.5 g,codex,205 x 144 x 34.0 mm,Paper,Arabic,6.3,"f.39-41, 42-43, 44-45, 48-49 glued together / Unglued and photographed",
Arabic 688,,Work,1574/1682,16th c.,134 ff.,1120.1 g,codex,270 x 185 x 70.0 mm,Paper,Arabic,6.3,,
Arabic 689,,Work,1701/1800,18th c.,114 ff.,1020.3 g,codex,324 x 237 x 35.0 mm,Paper,Arabic,6.3,,
Arabic 690,,Work,1677/1700,17th c.,39 ff.,229.5 g,codex,290 x 104 x 17.0 mm,Paper,Arabic,6.3,20AB / 21AB / 28AB,
Arabic 691,,Work,1653/1827,17th c.,56 ff.,138.1 g,codex,212 x 80 x 17.0 mm,Paper,Arabic,6.3,44AB,many signatures were sprinkled with a metallic powder while the ink was still wet
Arabic 694,,Work,1832,1832,85 ff.,122.5 g,codex,110 x 82 x 29.0 mm,Paper,Arabic,6.3,,"z_999 found at  001r  / decorative elements: 1v, 2r, 4v, 5r, 18v, 24rv, 29v, 30r, 37rv, 45v, 46r, 56rv, 59r, 65r, 69v, 70rv, 85r"
Arabic 697,,Work,,,132 ff.,854.2 g,codex,246 x 201 x 54.0 mm,Paper,Arabic,6.3,Not in Kamil,
Arabic 703,,Work,,,160 ff.,353.1 g,codex,163 x 115 x 36.0 mm,Paper,Arabic,6.3,Not in Kamil,"decorative elements: y_002r, y_002v, y_999"
Arabic 704,,Work,,,103 ff.,162.7 g,codex,157 x 107 x 22.0 mm,Paper,Arabic,6.3,Not in Kamil,
Arabic 705,,Work,,,289 ff.,1104.1 g,codex,204 x 148 x 95.0 mm,Paper,Arabic,6.3,Not in Kamil,6AB
Arabic 706,,Work,,,141 ff.,593 g,codex,170 x 135 x 55.0 mm,Paper,Arabic,6.3,Not in Kamil / 5AB / 8AB / 9AB / 106AB / 136AB,decorative elements: 1r
Syriac 12,,Work,601/700,7th c.,146 ff.,1287.7 g,codex,240 x 159 x 81.0 mm,Parchment,Syriac,6.3,f.1-54 parer / f.55-144 parchment / 2AB / 45AB,
Syriac 24,,Work,801/900,9th c.,216 ff.,1819.7 g,codex,261 x 208 x 101.0 mm,Parchment,Syriac,6.3,,
Syriac 26,,Work,801/900,9th c.,156 ff.,1184.6 g,codex,244 x 165 x 81.0 mm,Parchment,Syriac,6.3,,y_999=f.157r
Syriac 29,,Work,1201/1300,13th c.,6 ff.,47.1 g,codex,258 x 165 x 20.0 mm,Parchment,Syriac,6.3,6 singletons,z_999
Syriac 48,,Work,901/1100,10th c.,329 ff.,2025.5 g,codex,240 x 169 x 110.0 mm,Parchment,Syriac,6.3,NO 135,z_998 found at 113r / z_999 found at 118r
Syriac 77,,Work,1237,1237,288 ff.,2320.3 g,codex,264 x 209 x 100.0 mm,Paper,Syriac,6.3,40AB,
Syriac 81,,Work,1232,1232,195 ff.,1496 g,codex,240 x 182 x 75.0 mm,Paper,Syriac,6.3,,z_999 found at 55r / z_998found at 71r / z_997 found at 125r / decorative elements: throughout / 34v face / 36r faces / 45r faces / 47v & 48v bird / 52v bird / 53v face / 55v & 56v & 57v bird / 61v bird / 63v face / 64v bird / 66v bird / 69v & 70v bird / 73v bird / 76r face / 102v face / 104v icon / 131r faces / 172v face / 178v faces /
Syriac 120,,Work,1201/1300,13th c.,302 ff.,1098.1 g,codex,183 x 140 x 80.0 mm,Paper,Syriac,6.3,29AB / 78AB / Plaster like specks on many folio,"stub f_147_sr, sv"
Syriac 143,,Work,1230,1230,295 ff.,1197.7 g,codex,181 x 147 x 100.0 mm,Paper,Syriac,6.3,,"decorative elements: 248r, 265r, 272r, 279r, 281r, 1r, 37r, 50r, 92r, 93r, 110r, 118r, 173r, 193r, 230r, 23v, 78v, 105v, 148v, 177v, 185v, 209v, 223v, 234v"
Syriac 167,,Work,1201/1300,13th c.,109 ff.,351.2 g,codex,149 x 135 x 50.0 mm,Paper,Syriac,6.3,,
Syriac 171,,Work,1162,1162,190 ff.,525 g,codex,153 x 108 x 75.0 mm,Paper,Syriac,6.3,,"stub f_009_sar, _sav, f_009_sbr, _sbv / decorative elements: 41r, 124r, 152r, 155r, 164r, 176r, 57v, 73v, 130v, 145v, 149v, 176v"
Syriac 188,,Work,1250,1250,207 ff.,1567.2 g,codex,267 x 191 x 75.0 mm,Paper,Syriac,6.3,32AB / 57AB / 81AB / 97AB / 101AB / 109AB / 168AB / 178AB / 182AB,z_998r foliated as 162ar found at 162br / z_999 found at 147r
Syriac 198,,Work,1201/1300,13th c.,196 ff.,1010 g,codex,253 x 180 x 50.0 mm,Paper,Syriac,6.3,9AB / 14AB / 30AB / 37AB / 43AB / 91AB / 100AB / 112ABC / 159AB / 169AB / 180AB,
Syriac 204,,Work,1201/1300,13th c.,283 ff.,1783.3 g,codex,264 x 185 x 70.0 mm,Paper,Syriac,6.3,125AB / 149ABC,z_999 found at 122r / z_998 found at 248r
Syriac 249,,Work,1201/1300,13th c.,114 ff.,341.8 g,codex,158 x 127 x 41.0 mm,Paper,Arabic;Syriac,6.3,f.106-114 Αrabic,
Syriac 251,,Work,1201/1300,13th c.,202 ff.,568.1 g,codex,149 x 126 x 64.0 mm,Paper,Syriac,6.3,11AB / 37AB / 54AB / 61AB / 67AB / 75AB,
