Shelfmark,Item ARK,Object Type,Date.normalized,Date.creation,Format.extent,Format.weight,Format,Format.dimensions,Support,Language,delivery,Comments,User Comments
Arabic 4,,Work,901/1000,10th c.,281 ff.,1561 g,codex,268 x 176 x 83.0 mm,Paper,Arabic,6.3,No front board,
Arabic 23,,Work,1301/1400,14th c.,188 ff.,662.3 g,codex,165 x 147 x 72.0 mm,Paper,Arabic,6.3,NO 103 / 109AB,
Arabic 35,,Work,1629,1629,182 ff.,167.6 g,codex,104 x 81 x 45.0 mm,Paper,Arabic,6.3,29AB,"z_999 found at 128r / decorative elements: 2r, 24r, 47v, 70v, 100v"
Arabic 36,,Work,1601/1700,17th c.,152 ff.,333.7 g,codex,163 x 126 x 34.0 mm,Paper,Arabic,6.3,,
Arabic 68,,Work,1301/1400,14th c.,407 ff.,472.3 g,codex,149 x 114 x 59.0 mm,Paper,Arabic,6.3,254AB,"decorative elements: throughout, 5v, 113v, 185v"
Arabic 119,,Work,1245,1245,437 ff.,2638.2 g,codex,265 x 205 x 130.0 mm,Paper,Arabic,6.3,NO 225 / 234AB / 342AB,
Arabic 133,,Work,1003,1003,138 ff.,729.3 g,codex,190 x 154 x 58.0 mm,Paper,Arabic,6.3,22AB / 90AB / NO 91,
Arabic 184,,Work,1401/1500,15th c.,165 ff.,298.4 g,codex,135 x 110 x 53.0 mm,Paper,Arabic,6.3,,
Arabic 187,,Work,1201/1300,13th c.,82 ff.,271.2 g,codex,155 x 106 x 36.0 mm,Paper,Arabic,6.3,,"decoritive elements: 55v, 63r, 68r, 77r"
Arabic 206,,Work,1304,1304,155 ff.,397.8 g,codex,141 x 113 x 63.0 mm,Paper,Arabic,6.3,,
Arabic 268,,Work,1225,1225,318 ff.,1978.2 g,codex,266 x 184 x 120.0 mm,Paper,Arabic,6.3,1AB / 69AB,"stub f_105_sr,_sv"
Arabic 275,,Work,1201/1300,13th c.,345 ff.,2764.4 g,codex,262 x 188 x 96.0 mm,Paper,Arabic,6.3,NO 75 / 91 AB,"stub f_003_sr, _v"
Arabic 289,,Work,1201/1300,13th c.,519 ff.,3326.9 g,codex,263 x 187 x 128.0 mm,Paper,Arabic,6.3,f.98 is written as 88 / f.425 is written as 525 / NO 467 / NO / 468 / NO 469,1 blank stub y_999
Arabic 311,,Work,1001/1100,11th c.,314 ff.,2211.6 g,codex,263 x 197 x 95.0 mm,Parchment,Arabic,6.3,,
Arabic 317,,Work,1223,1223,468 ff.,3271.3 g,codex,263 x 194 x 131.0 mm,Paper,Arabic,6.3,243AB / 286AB,"stub f_194_sabcd_r, v"
Arabic 324,,Work,1201/1300,13th c.,214 ff.,803.2 g,codex,231 x 172 x 50.0 mm,Paper,Arabic,6.3,59AB,
Arabic 349,,Work,1291,1291,301 ff.,1295.2 g,codex,202 x 157 x 98.0 mm,Paper,Arabic,6.3,,z_999 found at 003r / decorative elements: 226v
Arabic 355,,Work,1201/1300,13th c.,329 ff.,765.6 g,codex,148 x 128 x 122.0 mm,Paper,Arabic,6.3,,
Arabic 393,,Work,1101/1200,12th c.,217 ff.,862.3 g,codex,200 x 168 x 73.0 mm,Paper,Arabic,6.3,,
Arabic 439,,Work,1279,1279,352 ff.,1943.4 g,codex,243 x 165 x 105.0 mm,Paper,Arabic,6.3,,
Arabic 479,,Work,1601/1700,17th c.,116 ff.,377.2 g,codex,175 x 122 x 33.0 mm,Paper,Arabic,6.3,NO 35 / 73AB / 113AB,
Arabic 484,,Work,1226,1226,152 ff.,594.8 g,codex,213 x 160 x 40.0 mm,Paper,Arabic;Greek,6.3,140AB,
Arabic 491,,Work,1201/1300,13th c.,343 ff.,1638.7 g,codex,213 x 166 x 115.0 mm,Paper,Arabic,6.3,116AB,
Arabic 495,,Work,1022,1022,358 ff.,1058.4 g,codex,197 x 166 x 102.0 mm,Paper,Arabic,6.3,14AB,
Arabic 546,,Work,1101/1200,12th c.,242 ff.,1894.2 g,codex,265 x 189 x 75.0 mm,Paper,Arabic,6.3,,
Arabic 555,,Work,1182,1182,174 ff.,256.8 g,codex,135 x 102 x 44.0 mm,Paper,Arabic,6.3,1AB,y_999=f.174r
Arabic 561,,Work,1469,1469,575 ff.,1857.9 g,codex,178 x 136 x 154.0 mm,Paper,Arabic,6.3,5AB / 318AB,
Arabic 566,,Work,1501/1600,16th c.,187 ff.,944.9 g,codex,237 x 176 x 69.0 mm,Paper,Arabic,6.3,,
