Shelfmark,Language,Writing system,Script,Script note,delivery
Sinai Syriac 127,Syriac,Syriac,Melkite,,1
Sinai Syriac 129,"Syriac,Arabic","Syriac,Arabic","Melkite,Naskh",,1
Sinai Syriac 182,Syriac,Syriac,Melkite,,3
Sinai Syriac 183,Syriac,Syriac,Melkite,,3
Sinai Syriac 184,Syriac,Syriac,Melkite,,3
Sinai Syriac 185,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 186,Syriac,Syriac,Melkite,,3
Sinai Syriac 187,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 189,Syriac,Syriac,Melkite,,3
Sinai Syriac 190,Syriac,Syriac,Melkite,,1
Sinai Syriac 192,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 193,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 194,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 195,Syriac,Syriac,Melkite,,3
Sinai Syriac 196,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 197,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 202,"Syriac,Arabic","Syriac,Arabic","Melkite,Naskh",,1
Sinai Syriac 203,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 207,Syriac,Syriac,Melkite,,3
Sinai Syriac 208,"Syriac,Arabic","Syriac,Arabic",Melkite,,1
Sinai Syriac 210,Syriac,Syriac,Melkite,,3
Sinai Syriac 211,"Syriac,Greek","Syriac,Greek","Melkite,Greek minuscule",Greek flyleaves,3
Sinai Syriac 212,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 213,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 214,"Syriac,Arabic","Syriac,Arabic","Melkite,Naskh",,3
Sinai Syriac 216,Syriac,Syriac,"Melkite,Estrangela",Flyleaves in Estrangela,3
Sinai Syriac 217,Syriac,Syriac,Melkite,,3
Sinai Syriac 218,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 219,Syriac,Syriac,Melkite,,3
Sinai Syriac 220,Syriac,Syriac,Melkite,,3
Sinai Syriac 227,Syriac,Syriac,Melkite,,4.2
Sinai Syriac 229,Syriac,Syriac,Melkite,,4.2
Sinai Syriac 230,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 232,Syriac,Syriac,Melkite,,3
Sinai Syriac 234,Syriac,Syriac,Melkite,,3
Sinai Syriac 235,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 238,Syriac,Syriac,Melkite,,3
Sinai Syriac 240,Syriac,Syriac,Melkite,,2
Sinai Syriac 259,Syriac,Syriac,Melkite,,4.2
Sinai Syriac 266,Syriac,Syriac,Melkite,,4.2
Sinai Syriac 269,Syriac,Syriac,Melkite,,2
Sinai Syriac 270,Syriac,Syriac,Melkite,,4.4
Sinai Syriac 271,Syriac,Syriac,Melkite,,2
Sinai Syriac 279,Syriac,Syriac,Estrangela,,4.4
