File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/qb22cd83
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/8363gs9s
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/7v75630p
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/m3526r9q
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/gv73q992
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/90596j0v
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/vx08q68k
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/5r54cf36
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/xq675v6b
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/4g79575g
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 403
Masters/sinaimasters/ara/arabic_0403/sld_arb0403_0011_f_005r.tif,11,discovery,f. 005r,Text,,ark:/21198/z13n36s9,ark:/21198/z13n36s9/fz304w01
