File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/x868p65t
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/zs86202c
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/7q072w5s
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/wk38h85g
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/z350108g
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/cd61383j
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/zz821k9j
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/8059jw3g
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/mh16sc4k
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/0064v763
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 400
Masters/sinaimasters/ara/arabic_0400/sld_arb0400_0011_f_005r.tif,11,discovery,f. 005r,Text,,ark:/21198/z1gx5fxx,ark:/21198/z1gx5fxx/tc03h56n
