File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/fg67gn44
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/g848t012
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/jp37z89k
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/j541cq1c
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/7c03sv09
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/96635h36
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/zw78cw5j
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/jg667z99
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/nz12ft1r
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/wc643z8q
",Pages,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 309
Masters/sinaimasters/ara/arabic_0309/sld_arb0309_0011_f_005r.tif,11,discovery,f. 005r,Text,,ark:/21198/z1nk4jd5,ark:/21198/z1nk4jd5/qp477j0x
