File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.copyrightStatus,Rights.statementLocal,Source
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0016_f_003r.tif,16,discovery,f. 003r,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/9j60q71g,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0017_f_003v.tif,17,discovery,f. 003v,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/6w77v62d,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0018_f_004r.tif,18,discovery,f. 004r,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/7c640d66,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0019_f_004v.tif,19,discovery,f. 004v,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/4279757f,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0020_f_005r.tif,20,discovery,f. 005r,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/w425p44h,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0021_f_005v.tif,21,discovery,f. 005v,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/3c75dd5p,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0022_f_006r.tif,22,discovery,f. 006r,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/6r69967c,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0023_f_006v.tif,23,discovery,f. 006v,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/7b86bz6j,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0024_f_007r.tif,24,discovery,f. 007r,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/1072sc6f,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
/Volumes/Masters/sinaimasters/syr/syriac_0087/sld_syr0087_0025_f_007v.tif,25,discovery,f. 007v,Text,,ark:/21198/z1fr10x0,ark:/21198/z1fr10x0/cv639c9d,ChildWork,copyrighted,Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac 87
