File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0001_a_1.tif,1,discovery,Front Board Outside,Front matter,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/km73905p
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0002_b_000.tif,2,discovery,Front Board Inside,Front matter,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/px97r995
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0003_f_001r.tif,3,discovery,f. 001r,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/6p15mb12
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0004_f_001v.tif,4,discovery,f. 001v,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/8143xr0q
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0005_f_002r.tif,5,discovery,f. 002r,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/gd139205
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0006_f_002v.tif,6,discovery,f. 002v,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/q713xc0p
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0007_f_003r.tif,7,discovery,f. 003r,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/mh90hk6k
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0008_f_003v.tif,8,discovery,f. 003v,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/pm18b67q
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0009_f_004r.tif,9,discovery,f. 004r,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/b219dz45
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0010_f_004v.tif,10,discovery,f. 004v,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/rg25xh69
",ChildWork,Images: Contact the Monastery of St. Catherine’s of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Arabic 492
Masters/sinaimasters/ara/arabic_0492/sld_arb0492_0011_f_005r.tif,11,discovery,f. 005r,Text,,ark:/21198/z12n65mg,ark:/21198/z12n65mg/vx169f0d
